actors;;;date;movie;press_rating;producer;spectators_rating
120,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
121,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
122,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
123,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
124,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
125,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
126,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
127,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
128,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
129,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
130,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
131,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
132,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
133,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
134,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
135,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
136,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
137,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
138,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
139,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
140,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
141,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
142,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
143,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
144,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
145,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
146,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
147,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
148,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
149,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
150,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
151,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
152,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
153,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
154,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
155,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
156,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
157,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
158,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
159,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
160,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
161,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
162,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
163,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
164,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
165,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
166,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
167,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
168,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
169,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
170,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
171,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
172,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
173,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
174,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
175,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
176,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
177,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
178,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
179,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
180,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
181,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
182,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
183,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
184,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
185,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
186,Dany Boon ; Laurence Arné ; François Berléand ;28 février 2018;La Ch’tite famille;2,9;Dany Boon;3,4
187,Christian Bale ; Rosamund Pike ; Wes Studi ;14-mars-18;Hostiles;4;Scott Cooper;4,2
188,Anthony Bajon ; Damien Chapelle ; Alex Brendemühl ;21-mars-18;La Prière;3,7;Cédric Kahn;3,9
189,Chadwick Boseman ; Michael B. Jordan ; Lupita Nyong'o ;14 février 2018;Black Panther;3,1;Ryan Coogler;4,1
190,Franck Dubosc ; Alexandra Lamy ; Elsa Zylberstein ;14-mars-18;Tout le monde debout;3,6;Franck Dubosc;4,3
191,John Boyega ; Scott Eastwood ; Cailee Spaeny ;21-mars-18;Pacific Rim Uprising;2,5;Steven S. DeKnight;3,1
192,Sally Hawkins ; Michael Shannon ; Richard Jenkins ;21 février 2018;La Forme de l'eau - The Shape of Water;4;Guillermo del Toro;3,8
193,Thierry Lhermitte ; Rayane Bensetti ; Émilie Caen ;21-mars-18;La Finale;3,4;Robin Sykes;3,9
194,Alicia Vikander ; Dominic West ; Walton Goggins ;14-mars-18;Tomb Raider;2,6;Roar Uthaug;3,7
195,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ;21-mars-18;Mektoub My Love : Canto Uno;4;Abdellatif Kechiche;3,5
