actors;;;date;movie;press_rating;producer;spectators_rating
431,Justin Timberlake ; Mila Kunis ; Patricia Clarkson ;07-sept-11;Sexe entre amis;2,5;Will Gluck;3,5
432,Vin Diesel ; Paul Walker ; Dwayne Johnson ;04-mai-11;Fast and Furious 5;3,3;Justin Lin;4
433,Jeremy Irvine ; Emily Watson ; Peter Mullan ;22 février 2012;Cheval de guerre;3,5;Steven Spielberg;4
434,Robert Downey Jr. ; Jude Law ; Noomi Rapace ;25-janv-12;Sherlock Holmes 2 : Jeu d'ombres;3,1;Guy Ritchie;4
435,Quim Gutiérrez ; Martina García ; Clara Lago ;04-juil-12;Inside;3;Andrés Baiz;3,8
436,Gary Oldman ; Mark Strong ; John Hurt ;8 février 2012;La Taupe;4;Tomas Alfredson;2,9
437,Philippe Peythieu ; Catherine O'Hara ; Vanessa Paradis ;12-oct-11;Un monstre à Paris;3,4;Eric Bergeron;3,9
438,Owen Wilson ; Rachel McAdams ; Michael Sheen ;11-mai-11;Minuit à Paris;4,2;Woody Allen;3,8
439,Audrey Tautou ; François Damiens ; Bruno Todeschini ;21 décembre 2011;La Délicatesse;2,5;David Foenkinos;3,5
440,Emily Browning ; Abbie Cornish ; Jena Malone ;30-mars-11;Sucker Punch;3;Zack Snyder;3,3
441,Gaspard Proust ; Louise Bourgoin ; JoeyStarr ;18-janv-12;L'Amour dure trois ans;3,1;Frédéric Beigbeder;2,9
442,Eric Elmosnino ; Mathilde Seigner ; Fred Testot ;14-sept-11;La Guerre des Boutons;2,6;Yann Samuell;3
443,Deborah Révy ; Hélène Zimmer ; Gowan Didi ;14-sept-11;Q;1,6;Laurent Bouhnik;2,2
444,Sophie Marceau ; Gad Elmaleh ; Maurice Barthélémy ;27-juin-12;Un Bonheur n'arrive jamais seul;2,4;James Huth;3,4
445,Kenny Wormald ; Julianne Hough ; Dennis Quaid ;21 décembre 2011;Footloose;2;Craig Brewer;3,5
446,Tilda Swinton ; John C. Reilly ; Ezra Miller ;28-sept-11;We Need to Talk About Kevin;3,7;Lynne Ramsay;4
447,Taylor Lautner ; Lily Collins ; Alfred Molina ;28-sept-11;Identité Secrète;1,4;John Singleton;2,6
448,Kirsten Dunst ; Charlotte Gainsbourg ; Alexander Skarsgård ;10 août 2011;Melancholia;4,1;Lars von Trier;3,5
449,Glenn Close ; Mia Wasikowska ; Aaron Taylor-Johnson ;22 février 2012;Albert Nobbs;2,7;Rodrigo García;3,5
450,Louise Bourgoin ; Pio Marmai ; Josiane Balasko ;28-sept-11;Un Heureux Événement;3;Rémi Bezançon;3,6
451,Ryan Reynolds ; Blake Lively ; Peter Sarsgaard ;10 août 2011;Green Lantern;2;Martin Campbell;2,5
452,Marion Cotillard ; Matt Damon ; Laurence Fishburne ;09-nov-11;Contagion;3,2;Steven Soderbergh;2,6
453,Franck Dubosc ; Valérie Lemercier ; Gérard Darmon ;05-oct-11;Bienvenue à bord;1,7;Eric Lavaine;2,7
454,Mélanie Laurent ; Meryl Streep ;" ,16 mars 2011,Pollen,""3,1"",Louie Schwartzberg,""3,9""";;;;;
455,François-Xavier Demaison ; Nicolas Duvauchelle ; Pierre Niney ;21-nov-12;Comme des frères;3,5;Hugo Gélin;3,9
456,Tom Hanks ; Thomas Horn ; Sandra Bullock ;29 février 2012;Extrêmement fort et incroyablement près;2,6;Stephen Daldry;3,8
457,Florence Foresti ; Jamel Debbouze ; Nikki Deloach ;7 décembre 2011;Hollywoo;2,4;Frédéric Berthe;2,4
458,Masami Nagasawa ; Junichi Okada ; Keiko Takeshita ;11-janv-12;La Colline aux Coquelicots;3,4;Goro Miyazaki;4
459,Kevin Vaz ; Johan Jonason ; John Ortiz ;22-mai-17;Play;;Ruben Östlund;2,7
460,Alice Taglioni ; Virginie Efira ; Mehdi Nebbou ;23-janv-13;Cookie;2;Léa Fazer;3,1
461,Roschdy Zem ; Leïla Bekhti ; Marc Lavoine ;11-juil-12;Mains armées;3,2;Pierre Jolivet;2,3
462,Leïla Bekhti ; Hafsia Herzi ; Hiam Abbass ;02-nov-11;La source des femmes;2,4;Radu Mihaileanu;3,8
463,Kristen Wiig ; Rose Byrne ; Maya Rudolph ;10 août 2011;Mes meilleures amies;3,8;Paul Feig;3
464,Bruno Choel ; Adeline Moreau ; Charlotte Piazza ;23-mars-11;Rango;3,4;Gore Verbinski;3,5
465,Liam Neeson ; Diane Kruger ; January Jones ;02-mars-11;Sans identité;2,7;Jaume Collet-Serra;3,5
466,Henry Cavill ; Mickey Rourke ; Luke Evans ;23-nov-11;Les Immortels;1,9;Tarsem Singh;2,6
467,Gérard Lanvin ; Tchéky Karyo ; Daniel Duval ;30-nov-11;Les Lyonnais;2,8;Olivier Marchal;3,8
468,Patrick Huard ; Julie Le Breton ; Antoine Bertrand ;27-juin-12;Starbuck;3,4;Ken Scott;4,2
469,Jean Dujardin ; Bérénice Bejo ; John Goodman ;12-oct-11;The Artist;4,1;Michel Hazanavicius;4
470,Nicholas D'Agosto ; Emma Bell ; Miles Fisher ;31 août 2011;Destination Finale 5;2,9;Steven Quale;3,2
471,Keira Knightley ; Michael Fassbender ; Viggo Mortensen ;21 décembre 2011;A Dangerous Method;3,5;David Cronenberg;3
472,Amanda Seyfried ; Gary Oldman ; Billy Burke ;20-avr-11;Le Chaperon Rouge;1,9;Catherine Hardwicke;3,1
473,Philippe Manoeuvre ; Simon Pegg ; Nick Frost ;02-mars-11;Paul;2,9;Greg Mottola;3,5
474,Ray Stevenson ; Christopher Walken ; Val Kilmer ;30 août 2011;Irish Gangster;;Jonathan Hensleigh;3,6
475,Patrick Chesnais ; Jeanne Lambert ; Miou-Miou ;13-juin-12;Bienvenue Parmi Nous;1,3;Jean Becker;3,1
476,Laetitia Casta ; Lorànt Deutsch ; Mustapha El-Atrassi ;13-avr-11;Rio;3,4;Carlos Saldanha;4
477,Richard Roxburgh ; Rhys Wakefield ; Alice Parkinson ;23 février 2011;Sanctum;2,3;Alister Grierson;2,6
478,Guillaume Canet ; Gilles Lellouche ; Lambert Wilson ;27-juil-11;Cars 2;2,6;Brad Lewis;3,4
479,Diane Kruger ; Djimon Hounsou ; Benoît Magimel ;02-nov-11;Forces spéciales;1,2;Stephane Rybojad;3,7
480,Jamie Foxx ; Christoph Waltz ; Leonardo DiCaprio ;16-janv-13;Django Unchained;4,5;Quentin Tarantino;4,5
481,Jennifer Lawrence ; Josh Hutcherson ; Liam Hemsworth ;21-mars-12;Hunger Games;3,4;Gary Ross;3,9
482,Robert Downey Jr. ; Chris Evans ; Mark Ruffalo ;25-avr-12;Avengers;4;Joss Whedon;4,2
483,Tom Hanks ; Halle Berry ; Jim Broadbent ;13-mars-13;Cloud Atlas;3,4;Lana Wachowski;4
484,Suraj Sharma ; Irrfan Khan ; Adil Hussain ;19 décembre 2012;L'Odyssée de Pi;3,6;Ang Lee;4,1
485,Bruce Willis ; Joseph Gordon-Levitt ; Emily Blunt ;31-oct-12;Looper;3,9;Rian Johnson;3,8
486,Bradley Cooper ; Jennifer Lawrence ; Robert De Niro ;30-janv-13;Happiness Therapy;3,5;David O. Russell;3,9
487,Christian Bale ; Gary Oldman ; Tom Hardy ;25-juil-12;The Dark Knight Rises;3,6;Christopher Nolan;4,3
488,David Oakes ; Tom Kane ; Florence Hall ;24-sept-12;Action ou vérité;;Robert Heath;3
489,Ethan Hawke ; Juliet Rylance ; Fred Dalton Thompson ;07-nov-12;Sinister;3,2;Scott Derrickson;3,7
490,Johan Heldenbergh ; Veerle Baetens ; Nell Cattrysse ;28 août 2013;Alabama Monroe;3,7;Felix Van Groeningen;4,4
491,Logan Lerman ; Emma Watson ; Ezra Miller ;02-janv-13;Le Monde de Charlie;3,3;Stephen Chbosky;4,3
492,Rachel McAdams ; Channing Tatum ; Jessica Lange ;16-mai-12;Je te promets - The Vow;2;Michael Sucsy;3,9
493,Norman Thavaud ; Thomas Mann (II) ; Oliver Cooper ;14-mars-12;Projet X;3;Nima Nourizadeh;3,4
494,Matthew McConaughey ; Reese Witherspoon ; Tye Sheridan ;01-mai-13;Mud - Sur les rives du Mississippi;4,1;Jeff Nichols;4,2
495,Jessica Biel ; Jodelle Ferland ; Stephen McHattie ;05-sept-12;The Secret;2,6;Pascal Laugier;3
496,Noomi Rapace ; Michael Fassbender ; Charlize Theron ;30-mai-12;Prometheus;3,4;Ridley Scott;3,3
497,Andrew Garfield ; Emma Stone ; Rhys Ifans ;04-juil-12;The Amazing Spider-Man;3;Marc Webb;3,6
498,Serge Faliu ; Alex Goude ; Virginie Efira ;13 février 2013;Hôtel Transylvanie;3;Genndy Tartakovsky;3,8
499,Kumiko Aso ; Megumi Hayashibara ; Takuma Hiraoka ;29 août 2012;Les Enfants Loups, Ame & Yuki;4,1;Mamoru Hosoda;4,5
500,Bruce Willis ; Edward Norton ; Bill Murray ;16-mai-12;Moonrise Kingdom;3,7;Wes Anderson;4
501,Medi Sadoun ; Franck Gastambide ; Jib Pocthier ;11-juil-12;Les Kaïra;3,3;Franck Gastambide;2,4
502,Ian McKellen ; Martin Freeman ; Richard Armitage ;12 décembre 2012;Le Hobbit : un voyage inattendu;3,2;Peter Jackson;4,2
503,Shia LaBeouf ; Tom Hardy ; Jason Clarke ;12-sept-12;Des hommes sans loi;3,4;John Hillcoat;4,1
504,Anna Kendrick ; Skylar Astin ; Ben Platt ;08-mai-13;The Hit Girls;2,5;Jason Moore;4
505,Colin Farrell ; Woody Harrelson ; Abbie Cornish ;30-janv-13;7 Psychopathes;2,3;Martin McDonagh;3
506,Jessica Chastain ; Jason Clarke ; Joel Edgerton ;23-janv-13;Zero Dark Thirty;4,1;Kathryn Bigelow;3,9
507,Colin Farrell ; Kate Beckinsale ; Jessica Biel ;15 août 2012;Total Recall Mémoires Programmées;1,9;Len Wiseman;2,9
508,Fabrice Luchini ; Ernst Umhauer ; Kristin Scott Thomas ;10-oct-12;Dans la maison;3,5;François Ozon;3,9
509,Britt Robertson ; Dylan O'Brien ; Craig Roberts ;31-janv-17;The First Time;;Jon Kasdan;4,2
510,Gaspard Ulliel ; Nolwenn Leroy ; Miglen Mirtchev ;28-nov-12;Les Cinq légendes;3,4;Peter Ramsey;4,2
511,Naomi Watts ; Ewan McGregor ; Tom Holland ;21-nov-12;The Impossible;3,1;Juan Antonio Bayona;4,1
512,Daniel Craig ; Judi Dench ; Javier Bardem ;26-oct-12;Skyfall;4;Sam Mendes;4,1
513,Denzel Washington ; Don Cheadle ; Kelly Reilly ;13 février 2013;Flight;3,2;Robert Zemeckis;3,7
514,Taylor Kitsch ; Aaron Taylor-Johnson ; Blake Lively ;26-sept-12;Savages;3;Oliver Stone;3,5
515,Sandrine Kiberlain ; Albert Dupontel ; Nicolas Marié ;16-oct-13;9 mois ferme;4,1;Albert Dupontel;3,6
516,Tom Cruise ; Rosamund Pike ; Robert Duvall ;26 décembre 2012;Jack Reacher;3,2;Christopher McQuarrie;3,6
517,Maribel Verdú ; Macarena García ; Daniel Giménez Cacho ;23-janv-13;Blancanieves;4;Pablo Berger;3,4
518,Dane DeHaan ; Alex Russell ; Michael B. Jordan ;22 février 2012;Chronicle;3,4;Josh Trank;3,5
519,Bernard Campan ; Jean-Pierre Darroussin ; Eric Elmosnino ;23-oct-13;Le Coeur des hommes 3;1,8;Marc Esposito;2,9
520,Marion Cotillard ; Matthias Schoenaerts ; Armand Verdure ;17-mai-12;De rouille et d'os;4,3;Jacques Audiard;3,9
521,François-Xavier Demaison ; Dorothée Pousséo ; Donald Reignoux ;5 décembre 2012;Les Mondes de Ralph;3,3;Rich Moore;4,1
522,Dwayne Johnson ; Michael Caine ; Josh Hutcherson ;15 février 2012;Voyage au centre de la Terre 2 : L'île mystérieuse;2,1;Brad Peyton;3,2
523,Hugh Jackman ; Russell Crowe ; Anne Hathaway ;13 février 2013;Les Misérables;2,3;Tom Hooper;3,2
524,Mads Mikkelsen ; Alicia Vikander ; Mikkel Boe Folsgaard ;21-nov-12;Royal Affair;3,6;Nikolaj Arcel;4,2
525,Daniel Day-Lewis ; Sally Field ; David Strathairn ;30-janv-13;Lincoln;3,9;Steven Spielberg;3,6
526,Taylor Kitsch ; Lynn Collins ; Samantha Morton ;07-mars-12;John Carter;3,1;Andrew Stanton;3,3
527,Taylor Kitsch ; Rihanna ; Liam Neeson ;11-avr-12;Battleship;2,3;Peter Berg;2,8
528,José Garcia ; Jean-Pierre Marielle ; Franck Dubosc ;26-sept-12;Les Seigneurs;2,6;Olivier Dahan;2,2
529,Johnny Depp ; Michelle Pfeiffer ; Helena Bonham Carter ;09-mai-12;Dark Shadows;3,5;Tim Burton;3,4
530,Ben Affleck ; Bryan Cranston ; John Goodman ;07-nov-12;Argo;3,7;Ben Affleck;4,2
531,Jean-Noël Martin ; Max Boublil ; Aïssa Maïga ;22-janv-14;Prêt à tout;2,2;Nicolas Cuche;2,8
532,Keira Knightley ; Jude Law ; Aaron Taylor-Johnson ;5 décembre 2012;Anna Karenine;3,2;Joe Wright;3,3
533,Jeremy Renner ; Rachel Weisz ; Edward Norton ;19-sept-12;Jason Bourne : l'héritage;2,8;Tony Gilroy;3,1
534,Sacha Baron Cohen ; Anna Faris ; Ben Kingsley ;20-juin-12;The Dictator;2,8;Larry Charles;3,1
535,Joaquin Phoenix ; Philip Seymour Hoffman ; Amy Adams ;09-janv-13;The Master;3,8;Paul Thomas Anderson;2,8
536,Jason Biggs ; Alyson Hannigan ; Chris Klein ;02-mai-12;American Pie 4;1,6;Jon Hurwitz;3,7
537,Reem Kherici ; Cécile Cassel ; Tarek Boudali ;17-juil-13;Paris à tout prix;2,8;Reem Kherici;3,2
538,Jean Dujardin ; Gilles Lellouche ; Alexandra Lamy ;29 février 2012;Les Infidèles;3;Jean Dujardin;2,1
539,Rita Blanco ; Joaquim de Almeida ; Roland Giraud ;24-avr-13;La Cage Dorée;3,5;Ruben Alves;4
540,Josh Brolin ; Ryan Gosling ; Sean Penn ;6 février 2013;Gangster Squad;2,3;Ruben Fleischer;3,8
541,Mads Mikkelsen ; Thomas Bo Larsen ; Annika Wedderkopp ;14-nov-12;La Chasse;3,1;Thomas Vinterberg;4,2
542,Liam Neeson ; Dallas Roberts ; Frank Grillo ;29 février 2012;Le Territoire des Loups;3,5;Joe Carnahan;3,5
543,Kristen Stewart ; Chris Hemsworth ; Charlize Theron ;13-juin-12;Blanche-Neige et le chasseur;3,2;Rupert Sanders;3,3
544,Diane Kruger ; Dany Boon ; Alice Pol ;31-oct-12;Un Plan Parfait;2,6;Pascal Chaumeil;3
545,Jim Sturgess ; Kirsten Dunst ; Timothy Spall ;01-mai-13;Upside Down;2,1;Juan Solanas;3,3
546,Jean-Louis Trintignant ; Emmanuelle Riva ; Isabelle Huppert ;24-oct-12;Amour;4,4;Michael Haneke;3,8
547,Nina Hoss ; Ronald Zehrfeld ; Rainer Bock ;02-mai-12;Barbara;3,8;Christian Petzold;3,7
548,Melvil Poupaud ; Suzanne Clément ; Nathalie Baye ;18-juil-12;Laurence Anyways;3,5;Xavier Dolan;4,2
549,Karl Urban ; Olivia Thirlby ; Lena Headey ;11 février 2013;Dredd;;Pete Travis;3,4
550,Liam Neeson ; Maggie Grace ; Famke Janssen ;03-oct-12;Taken 2;1,7;Olivier Megaton;3
551,Pierre Deladonchamps ; Christophe Paou ; Patrick d'Assumçao ;12-juin-13;L'inconnu du lac;4,2;Alain Guiraudie;3,1
552,Bernadette Lafont ; Carmen Maura ; Dominique Lavanant ;16-janv-13;Paulette;2,6;Jérôme Enrico;3,4
553,Jeffrey Dean Morgan ; Kyra Sedgwick ; Natasha Calis ;26 décembre 2012;Possédée;2,1;Ole Bornedal;2,9
554,Paul Brannigan ; John Henshaw ; Gary Maitland ;27-juin-12;La Part des Anges;3,5;Ken Loach;4
555,Bernard Alane ; Isabelle Spade ; Kacey Mottet Klein ;26-sept-12;Le Magasin des suicides;3,1;Patrice Leconte;2,3
556,Zac Efron ; Taylor Schilling ; Blythe Danner ;17-oct-12;The Lucky One;;Scott Hicks;3,9
557,Jonah Hill ; Channing Tatum ; Brie Larson ;06-juin-12;21 Jump Street;2,7;Phil Lord;3,6
558,Will Smith ; Tommy Lee Jones ; Josh Brolin ;23-mai-12;Men In Black III;3,2;Barry Sonnenfeld;3,5
559,JoeyStarr ; Mark Wahlberg ; Mila Kunis ;10-oct-12;Ted;3,6;Seth MacFarlane;3,4
560,Guy Pearce ; Maggie Grace ; Vincent Regan ;18-avr-12;Lock Out;2,3;James Mather (II);2,6
561,Romain Duris ; Déborah François ; Bérénice Bejo ;28-nov-12;Populaire;3,8;Regis Roinsard;3,8
562,Denzel Washington ; Ryan Reynolds ; Vera Farmiga ;22 février 2012;Sécurité rapprochée;2,7;Daniel Espinosa;3,5
563,James Franco ; Vanessa Hudgens ; Selena Gomez ;06-mars-13;Spring Breakers;3,7;Harmony Korine;2,1
564,Laurent Lafitte ; Christophe Malavoy ; Judith El Zein ;18 décembre 2013;16 ans ou presque;1,8;Tristan Séguéla;2,7
565,Cameron Diaz ; Jennifer Lopez ; Elizabeth Banks ;20-juin-12;Ce qui vous attend si vous attendez un enfant;1,6;Kirk Jones (II);2,8
566,Mia Wasikowska ; Nicole Kidman ; Matthew Goode ;01-mai-13;Stoker;3,3;Park Chan-Wook;3,5
567,Raphaël Personnaz ; Bérénice Bejo ; Guillaume De Tonquédec ;16-oct-13;Au bonheur des ogres;2,6;Nicolas Bary;3,3
568,Fernanda Andrade ; Simon Quarterman ; Evan Helmuth ;22 février 2012;Devil Inside;2,1;William Brent Bell;1,6
569,Pål Sverre Valheim Hagen ; Anders Baasmo Christiansen ; Gustaf Skarsgård ;01-avr-15;Kon-Tiki;;Joachim Rønning;3,8
570,Charlie Hunnam ; Idris Elba ; Rinko Kikuchi ;17-juil-13;Pacific Rim;3,4;Guillermo del Toro;3,7
571,Mark Wahlberg ; Dwayne Johnson ; Ed Harris ;11-sept-13;No Pain No Gain;3,1;Michael Bay;3,3
572,Léa Seydoux ; Adèle Exarchopoulos ; Salim Kechiouche ;09-oct-13;La Vie d'Adèle - Chapitres 1 et 2;4,6;Abdellatif Kechiche;3,7
573,Tom Hanks ; Catherine Keener ; Barkhad Abdi ;20-nov-13;Capitaine Phillips;3,5;Paul Greengrass;4,2
574,Hugh Jackman ; Jake Gyllenhaal ; Viola Davis ;09-oct-13;Prisoners;3,8;Denis Villeneuve;4,4
575,Joaquin Phoenix ; Amy Adams ; Rooney Mara ;19-mars-14;Her;3,9;Spike Jonze;4,1
576,Philippe Lacheau ; Gérard Jugnot ; Clotilde Courau ;16-avr-14;Babysitting;3,2;Philippe Lacheau;4
577,Meryl Streep ; Julia Roberts ; Ewan McGregor ;26 février 2014;Un été à Osage County;2,9;John Wells;3,6
578,Jack O'Connell ; Rupert Friend ; Ben Mendelsohn ;04-juin-14;Les Poings contre les murs;3,8;David Mackenzie;4
579,Mark Wahlberg ; Taylor Kitsch ; Emile Hirsch ;01-janv-14;Du sang et des larmes;2,9;Peter Berg;4,3
580,Vera Farmiga ; Patrick Wilson ; Ron Livingston ;21 août 2013;Conjuring : Les dossiers Warren;3,3;James Wan;4,2
581,Leonardo DiCaprio ; Jonah Hill ; Margot Robbie ;25 décembre 2013;Le Loup de Wall Street;4;Martin Scorsese;4,2
582,Charlotte Gainsbourg ; Stellan Skarsgård ; Stacy Martin ;01-janv-14;Nymphomaniac - Volume 1;3,2;Lars von Trier;3,3
583,Domhnall Gleeson ; Bill Nighy ; Rachel McAdams ;06-nov-13;Il était temps;3,2;Richard Curtis;4,2
584,Jesse Eisenberg ; Mark Ruffalo ; Woody Harrelson ;31-juil-13;Insaisissables;2,3;Louis Leterrier;4
585,Ralph Fiennes ; Tony Revolori ; F. Murray Abraham ;26 février 2014;The Grand Budapest Hotel;4,5;Wes Anderson;4,2
586,Romain Duris ; Audrey Tautou ; Gad Elmaleh ;24-avr-13;L'Ecume des jours;3;Michel Gondry;2,6
587,Danny Trejo ; Christina Cox ; Brad Rowe ;/;Froid comme la vengeance;;Sean Olson;2,9
588,Leonardo DiCaprio ; Tobey Maguire ; Carey Mulligan ;15-mai-13;Gatsby le Magnifique;2,8;Baz Luhrmann;4
589,Emmylou Homs ; Anaïs Delva ; Donald Reignoux ;4 décembre 2013;La Reine des neiges;3,5;Chris Buck;4,2
590,Matthew McConaughey ; Jennifer Garner ; Jared Leto ;29-janv-14;Dallas Buyers Club;3,9;Jean-Marc Vallée;4,3
591,Chiwetel Ejiofor ; Michael Fassbender ; Benedict Cumberbatch ;22-janv-14;12 Years a Slave;4,2;Steve McQueen (II);4,3
592,Henry Cavill ; Amy Adams ; Michael Shannon ;19-juin-13;Man of Steel;3,3;Zack Snyder;3,6
593,Ryan Gosling ; Bradley Cooper ; Eva Mendes ;20-mars-13;The Place Beyond the Pines;3,6;Derek Cianfrance;4
594,Félix Bossuet ; Tchéky Karyo ; Margaux Chatelier ;18 décembre 2013;Belle et Sébastien;2,8;Nicolas Vanier;4,1
595,Chris Hemsworth ; Natalie Portman ; Tom Hiddleston ;30-oct-13;Thor : Le Monde des ténèbres;2,8;Alan Taylor;3,7
596,Sandra Bullock ; George Clooney ; Ed Harris ;23-oct-13;Gravity;4,6;Alfonso Cuarón;3,9
597,Mariya Smolnikova ; Yanina Studilina ; Pyotr Fyodorov ;10-sept-14;Stalingrad;;Fedor Bondarchuk;3,2
598,Bruce Willis ; John Malkovich ; Mary-Louise Parker ;28 août 2013;Red 2;2,7;Dean Parisot;3,5
599,Brad Pitt ; Mireille Enos ; Elyes Gabel ;03-juil-13;World War Z;2,9;Marc Forster;3,6
600,James McAvoy ; Vincent Cassel ; Rosario Dawson ;08-mai-13;Trance;2,9;Danny Boyle;3,8
601,Ben Stiller ; Kristen Wiig ; Shirley MacLaine ;01-janv-14;La Vie rêvée de Walter Mitty;3,2;Ben Stiller;4
602,Benoît Poelvoorde ; Laetitia Casta ; Richard Bohringer ;09-janv-13;Une Histoire d'amour;2,1;Hélène Fillières;1,8
603,Sylvester Stallone ; Arnold Schwarzenegger ; Jim Caviezel ;13-nov-13;Evasion;1,6;Mikael Hafstrom;3,6
604,Chris Evans ; Jamie Bell ; Tilda Swinton ;30-oct-13;Snowpiercer, Le Transperceneige;4,1;Joon-Ho Bong;3,4
605,Robert De Niro ; John Travolta ; Milo Ventimiglia ;10 février 2014;Face à face;;Mark Steven Johnson;2,5
606,Steve Albert ; Hideaki Anno ; Miori Takimoto ;22-janv-14;Le Vent se lève;4,2;Hayao Miyazaki;4,1
607,Christian Clavier ; Isabelle Nanty ; Pierre-François Martin-Laval ;17-avr-13;Les Profs;2,2;Pierre-François Martin-Laval;2,7
608,Jake Gyllenhaal ; Mélanie Laurent ; Sarah Gadon ;27 août 2014;Enemy;3,5;Denis Villeneuve;2,9
609,Virginie Efira ; Pierre Niney ; Gilles Cohen ;06-mars-13;20 ans d'écart;3,6;David Moreau;3,8
610,Marine Vacth ; Géraldine Pailhas ; Frédéric Pierrot ;21 août 2013;Jeune & Jolie;3,7;François Ozon;3,2
611,Christian Bale ; Woody Harrelson ; Casey Affleck ;15-janv-14;Les Brasiers de la Colère;2,8;Scott Cooper;3,5
612,Tom Cruise ; Olga Kurylenko ; Morgan Freeman ;10-avr-13;Oblivion;2,9;Joseph Kosinski;3,6
613,Forest Whitaker ; Oprah Winfrey ; Mariah Carey ;11-sept-13;Le Majordome;3,2;Lee Daniels;4,3
614,Ethan Hawke ; Lena Headey ; Max Burkholder ;7 août 2013;American Nightmare;2,5;James DeMonaco;2,6
615,Jessica Chastain ; Nikolaj Coster-Waldau ; Megan Charpentier ;15-mai-13;Mamá;3,1;Andy Muschietti;3,6
616,Chris Hemsworth ; Daniel Brühl ; Olivia Wilde ;25-sept-13;Rush;4;Ron Howard;4,4
617,Valérie Bonneton ; Dany Boon ; Denis Ménochet ;02-oct-13;Eyjafjallajökull;2,5;Alexandre Coffre;2,7
618,Robert Downey Jr. ; Gwyneth Paltrow ; Don Cheadle ;24-avr-13;Iron Man 3;3,2;Shane Black;4
619,Matt Damon ; Jodie Foster ; Sharlto Copley ;14 août 2013;Elysium;2,7;Neill Blomkamp;3,4
620,Charlotte Gainsbourg ; Stellan Skarsgård ; Stacy Martin ;29-janv-14;Nymphomaniac - Volume 2;2,8;Lars von Trier;3,1
621,Guillaume Gallienne ; André Marcon ; Françoise Fabian ;20-nov-13;Les Garçons et Guillaume, à table !;3,9;Guillaume Gallienne;3,7
622,Jacques Gamblin ; Alexandra Lamy ; Fabien Héraud ;26-mars-14;De toutes nos forces;3,2;Nils Tavernier;4,1
623,Karin Viard ; Bouli Lanners ; Pascal Demolon ;22-janv-14;Lulu femme nue;3,8;Solveig Anspach;3,6
624,José Garcia ; Michaël Youn ; Isabelle Funaro ;20 février 2013;Vive la France;1,8;Michaël Youn;2,3
625,Jennifer Lawrence ; Josh Hutcherson ; Liam Hemsworth ;27-nov-13;Hunger Games - L'embrasement;3,5;Francis Lawrence;4
626,Jason Statham ; James Franco ; Winona Ryder ;08-janv-14;Homefront;2,5;Gary Fleder;3,7
627,Saoirse Ronan ; Max Irons ; Jake Abel ;17-avr-13;Les Âmes Vagabondes;2,4;Andrew Niccol;3,5
628,Ethan Hawke ; Selena Gomez ; Jon Voight ;02-janv-15;Getaway;;Courtney Solomon;2,4
629,Chris Pine ; Zachary Quinto ; Benedict Cumberbatch ;12-juin-13;Star Trek Into Darkness;3,7;J.J. Abrams;4
630,Harrison Ford ; Asa Butterfield ; Hailee Steinfeld ;06-nov-13;La Stratégie Ender;2,5;Gavin Hood;3,5
631,Simon Pegg ; Nick Frost ; Martin Freeman ;28 août 2013;Le Dernier pub avant la fin du monde;3,2;Edgar Wright;3,5
632,Lily Collins ; Jamie Campbell Bower ; Robert Sheehan ;16-oct-13;The Mortal Instruments : La Cité des ténèbres;1,8;Harald Zwart;3,5
633,Martin Freeman ; Richard Armitage ; Ian McKellen ;11 décembre 2013;Le Hobbit : la Désolation de Smaug;3,7;Peter Jackson;4,2
634,Christian Bale ; Bradley Cooper ; Amy Adams ;5 février 2014;American Bluff;3,2;David O. Russell;3,4
635,Iain De Caestecker ; Alice Englert ; Allen Leech ;/;In Fear;;Jeremy Lovering;2,8
636,Naomi Watts ; Robin Wright ; Xavier Samuel ;03-avr-13;Perfect Mothers;3,1;Anne Fontaine;3,4
637,Ludivine Sagnier ; Nicolas Bedos ; Jonathan Cohen ;03-avr-13;Amour & turbulences;2,8;Alexandre Castagnetti;3,3
638,Romain Duris ; Audrey Tautou ; Cécile de France ;4 décembre 2013;Casse-tête chinois;3,4;Cédric Klapisch;3,9
639,James Franco ; Mila Kunis ; Rachel Weisz ;13-mars-13;Le Monde fantastique d'Oz;3,5;Sam Raimi;3,2
640,Bruce Willis ; Channing Tatum ; Dwayne Johnson ;27-mars-13;G.I. Joe : Conspiration;2,5;Jon M. Chu;2,7
641,Aki Asakura ; Kengo Kora ; Takeo Chii ;25-juin-14;Le Conte de la princesse Kaguya;4,5;Isao Takahata;4,4
642,Alain Chabat ; Max Boublil ; Sandrine Kiberlain ;17-avr-13;Les Gamins;3,2;Anthony Marciano;3,8
643,Gerard Butler ; Aaron Eckhart ; Morgan Freeman ;20-mars-13;La Chute de la Maison Blanche;2,8;Antoine Fuqua;3,5
644,Michael Fassbender ; Penélope Cruz ; Cameron Diaz ;13-nov-13;Cartel;2,4;Ridley Scott;1,8
645,Johnny Depp ; Armie Hammer ; Tom Wilkinson ;7 août 2013;Lone Ranger, Naissance d'un héros;3,5;Gore Verbinski;3,5
646,Julianne Hough ; Josh Duhamel ; Cobie Smulders ;27-nov-13;Un havre de paix;;Lasse Hallström;4
647,Cate Blanchett ; Alec Baldwin ; Sally Hawkins ;25-sept-13;Blue Jasmine;4,2;Woody Allen;3,7
