,actor,date,movie,press_rating,producer,spectators_rating
210,"
                Avec
                                                                                                                                        Christian Bale,
                                                                                                                        Woody Harrelson,
                                                                                                                        Casey Affleck
",15 janvier 2014,Les Brasiers de la Colère,"
                2,8",Scott Cooper,"
                3,5"
211,"
                Avec
                                                                                                                                        Christian Clavier,
                                                                                                                        Isabelle Nanty,
                                                                                                                        Pierre-François Martin-Laval
",17 avril 2013,Les Profs,"
                2,2",Pierre-François Martin-Laval,"
                2,7"
212,"
                Avec
                                                                                                                                        Chris Evans,
                                                                                                                        Jamie Bell,
                                                                                                                        Tilda Swinton
",30 octobre 2013,"Snowpiercer, Le Transperceneige","
                4,1",Joon-Ho Bong,"
                3,4"
213,"
                Avec
                                                                                                                                        Jacques Gamblin,
                                                                                                                        Alexandra Lamy,
                                                                                                                        Fabien Héraud
",26 mars 2014,De toutes nos forces,"
                3,2",Nils Tavernier,"
                4,1"
214,"
                Avec
                                                                                                                                        Jake Gyllenhaal,
                                                                                                                        Mélanie Laurent,
                                                                                                                        Sarah Gadon
",27 août 2014,Enemy,"
                3,5",Denis Villeneuve,"
                2,9"
215,"
                Avec
                                                                                                                                        Charlotte Gainsbourg,
                                                                                                                        Stellan Skarsgård,
                                                                                                                        Stacy Martin
",29 janvier 2014,Nymphomaniac - Volume 2,"
                2,8",Lars von Trier,"
                3,1"
216,"
                Avec
                                                                                                                                        Robert Downey Jr.,
                                                                                                                        Gwyneth Paltrow,
                                                                                                                        Don Cheadle
",24 avril 2013,Iron Man 3,"
                3,2",Shane Black,"
                4,0"
217,"
                Avec
                                                                                                                                        Chiwetel Ejiofor,
                                                                                                                        Michael Fassbender,
                                                                                                                        Benedict Cumberbatch
",22 janvier 2014,12 Years a Slave,"
                4,2",Steve McQueen (II),"
                4,3"
218,"
                Avec
                                                                                                                                        Steve Albert,
                                                                                                                        Hideaki Anno,
                                                                                                                        Miori Takimoto
",22 janvier 2014,Le Vent se lève,"
                4,2",Hayao Miyazaki,"
                4,1"
219,"
                Avec
                                                                                                                                        Ryan Gosling,
                                                                                                                        Bradley Cooper,
                                                                                                                        Eva Mendes
",20 mars 2013,The Place Beyond the Pines,"
                3,6",Derek Cianfrance,"
                4,0"
220,"
                Avec
                                                                                                                                        Ethan Hawke,
                                                                                                                        Lena Headey,
                                                                                                                        Max Burkholder
",7 août 2013,American Nightmare,"
                2,5",James DeMonaco,"
                2,6"
221,"
                Avec
                                                                                                                                        Alain Chabat,
                                                                                                                        Max Boublil,
                                                                                                                        Sandrine Kiberlain
",17 avril 2013,Les Gamins,"
                3,2",Anthony Marciano,"
                3,8"
222,"
                Avec
                                                                                                                                        Virginie Efira,
                                                                                                                        Pierre Niney,
                                                                                                                        Gilles Cohen
",6 mars 2013,20 ans d'écart,"
                3,6",David Moreau,"
                3,8"
223,"
                Avec
                                                                                                                                        Mark Wahlberg,
                                                                                                                        Dwayne Johnson,
                                                                                                                        Ed Harris
",11 septembre 2013,No Pain No Gain,"
                3,1",Michael Bay,"
                3,3"
224,"
                Avec
                                                                                                                                        James McAvoy,
                                                                                                                        Vincent Cassel,
                                                                                                                        Rosario Dawson
",8 mai 2013,Trance,"
                2,9",Danny Boyle,"
                3,8"
225,"
                Avec
                                                                                                                                        Jessica Chastain,
                                                                                                                        Nikolaj Coster-Waldau,
                                                                                                                        Megan Charpentier
",15 mai 2013,Mamá,"
                3,1",Andy Muschietti,"
                3,6"
226,"
                Avec
                                                                                                                                        Henry Cavill,
                                                                                                                        Amy Adams,
                                                                                                                        Michael Shannon
",19 juin 2013,Man of Steel,"
                3,3",Zack Snyder,"
                3,6"
227,"
                Avec
                                                                                                                                        Naomi Watts,
                                                                                                                        Robin Wright,
                                                                                                                        Xavier Samuel
",3 avril 2013,Perfect Mothers,"
                3,1",Anne Fontaine,"
                3,4"
228,"
                Avec
                                                                                                                                        Hugh Jackman,
                                                                                                                        Tao Okamoto,
                                                                                                                        Rila Fukushima
",24 juillet 2013,Wolverine : le combat de l'immortel,"
                2,5",James Mangold,"
                3,3"
229,"
                Avec
                                                                                                                                        Ethan Hawke,
                                                                                                                        Selena Gomez,
                                                                                                                        Jon Voight
",2 janvier 2015,Getaway,"
                0",Courtney Solomon,"
                2,4"
230,"
                Avec
                                                                                                                                        Forest Whitaker,
                                                                                                                        Oprah Winfrey,
                                                                                                                        Mariah Carey
",11 septembre 2013,Le Majordome,"
                3,2",Lee Daniels,"
                4,3"
231,"
                Avec
                                                                                                                                        Matt Damon,
                                                                                                                        Jodie Foster,
                                                                                                                        Sharlto Copley
",14 août 2013,Elysium,"
                2,7",Neill Blomkamp,"
                3,4"
232,"
                Avec
                                                                                                                                        Chris Hemsworth,
                                                                                                                        Daniel Brühl,
                                                                                                                        Olivia Wilde
",25 septembre 2013,Rush,"
                4,0",Ron Howard,"
                4,4"
233,"
                Avec
                                                                                                                                        Brad Pitt,
                                                                                                                        Mireille Enos,
                                                                                                                        Elyes Gabel
",3 juillet 2013,World War Z,"
                2,9",Marc Forster,"
                3,6"
234,"
                Avec
                                                                                                                                        Lily Collins,
                                                                                                                        Jamie Campbell Bower,
                                                                                                                        Robert Sheehan
",16 octobre 2013,The Mortal Instruments : La Cité des ténèbres,"
                1,8",Harald Zwart,"
                3,5"
235,"
                Avec
                                                                                                                                        Aki Asakura,
                                                                                                                        Kengo Kora,
                                                                                                                        Takeo Chii
",25 juin 2014,Le Conte de la princesse Kaguya,"
                4,5",Isao Takahata,"
                4,4"
236,"
                Avec
                                                                                                                                        Guillaume Gallienne,
                                                                                                                        André Marcon,
                                                                                                                        Françoise Fabian
",20 novembre 2013,"Les Garçons et Guillaume, à table !","
                3,9",Guillaume Gallienne,"
                3,7"
237,"
                Avec
                                                                                                                                        Jason Statham,
                                                                                                                        James Franco,
                                                                                                                        Winona Ryder
",8 janvier 2014,Homefront,"
                2,5",Gary Fleder,"
                3,7"
238,"
                Avec
                                                                                                                                        Gerard Butler,
                                                                                                                        Aaron Eckhart,
                                                                                                                        Morgan Freeman
",20 mars 2013,La Chute de la Maison Blanche,"
                2,8",Antoine Fuqua,"
                3,5"
239,"
                Avec
                                                                                                                                        Robert Sheehan,
                                                                                                                        Dev Patel,
                                                                                                                        Zoë Kravitz
",12 décembre 2017,The Road Within,"
                0",Gren Wells,"
                4,1"
240,"
                Avec
                                                                                                                                        Nicole Kidman,
                                                                                                                        Colin Firth,
                                                                                                                        Mark Strong
",24 septembre 2014,Avant d'aller dormir,"
                2,3",Rowan Joffe,"
                3,3"
241,"
                Avec
                                                                                                                                        Eddie Redmayne,
                                                                                                                        Felicity Jones,
                                                                                                                        Tom Prior
",21 janvier 2015,Une merveilleuse histoire du temps,"
                3,3",James Marsh,"
                4,3"
242,"
                Avec
                                                                                                                                        Keanu Reeves,
                                                                                                                        Michael Nyqvist,
                                                                                                                        Alfie Allen
",29 octobre 2014,John Wick,"
                2,9",David Leitch,"
                3,6"
243,"
                Avec
                                                                                                                                        Dylan O'Brien,
                                                                                                                        Aml Ameen,
                                                                                                                        Will Poulter
",15 octobre 2014,Le Labyrinthe,"
                3,4",Wes Ball,"
                3,8"
244,"
                Avec
                                                                                                                                        Matthew McConaughey,
                                                                                                                        Anne Hathaway,
                                                                                                                        Michael Caine
",5 novembre 2014,Interstellar,"
                3,8",Christopher Nolan,"
                4,5"
245,"
                Avec
                                                                                                                                        Kyan Khojandi,
                                                                                                                        Damon Gameau,
                                                                                                                        Hugh Jackman
",24 janvier 2018,Sugarland,"
                3,5",Damon Gameau,"
                4,1"
246,"
                Avec
                                                                                                                                        Min-sik Choi,
                                                                                                                        Ryu Seung-Ryong,
                                                                                                                        Ku Jin
",6 juillet 2016,Myeong-ryang,"
                0",Han-min Kim,"
                3,3"
247,"
                Avec
                                                                                                                                        Christian Bale,
                                                                                                                        Joel Edgerton,
                                                                                                                        John Turturro
",24 décembre 2014,Exodus: Gods And Kings,"
                3,2",Ridley Scott,"
                2,9"
248,"
                Avec
                                                                                                                                        Domhnall Gleeson,
                                                                                                                        Alicia Vikander,
                                                                                                                        Oscar Isaac
",3 juin 2015,Ex Machina,"
                3,3",Alex Garland,"
                3,9"
249,"
                Avec
                                                                                                                                        Ben Affleck,
                                                                                                                        Rosamund Pike,
                                                                                                                        Neil Patrick Harris
",8 octobre 2014,Gone Girl,"
                4,0",David Fincher,"
                4,3"
250,"
                Avec
                                                                                                                                        Benedict Cumberbatch,
                                                                                                                        Keira Knightley,
                                                                                                                        Matthew Goode
",28 janvier 2015,Imitation Game,"
                3,4",Morten Tyldum,"
                4,3"
251,"
                Avec
                                                                                                                                        Kheiron,
                                                                                                                        Leïla Bekhti,
                                                                                                                        Gérard Darmon
",4 novembre 2015,Nous trois ou rien,"
                3,6",Kheiron,"
                4,4"
252,"
                Avec
                                                                                                                                        Christian Clavier,
                                                                                                                        Chantal Lauby,
                                                                                                                        Ary Abittan
",16 avril 2014,Qu'est-ce qu'on a fait au Bon Dieu?,"
                3,8",Philippe de Chauveron,"
                3,8"
253,"
                Avec
                                                                                                                                        Viviane Pascal,
                                                                                                                        Antoine-Olivier Pilon,
                                                                                                                        Anne Dorval
",8 octobre 2014,Mommy,"
                4,3",Xavier Dolan,"
                4,5"
254,"
                Avec
                                                                                                                                        Chris Pratt,
                                                                                                                        Zoe Saldana,
                                                                                                                        Dave Bautista
",13 août 2014,Les Gardiens de la Galaxie,"
                3,8",James Gunn (II),"
                4,2"
255,"
                Avec
                                                                                                                                        Miles Teller,
                                                                                                                        J.K. Simmons,
                                                                                                                        Paul Reiser
",24 décembre 2014,Whiplash,"
                4,1",Damien Chazelle,"
                4,5"
256,"
                Avec
                                                                                                                                        Shailene Woodley,
                                                                                                                        Ansel Elgort,
                                                                                                                        Nat Wolff
",20 août 2014,Nos étoiles contraires,"
                2,8",Josh Boone,"
                4,3"
257,"
                Avec
                                                                                                                                        Louane Emera,
                                                                                                                        Karin Viard,
                                                                                                                        François Damiens
",17 décembre 2014,La Famille Bélier,"
                3,7",Eric Lartigau,"
                4,0"
258,"
                Avec
                                                                                                                                        Benicio Del Toro,
                                                                                                                        Josh Hutcherson,
                                                                                                                        Claudia Traisac
",5 novembre 2014,Paradise Lost,"
                2,9",Andrea Di Stefano,"
                3,6"
259,"
                Avec
                                                                                                                                        Shailene Woodley,
                                                                                                                        Theo James,
                                                                                                                        Kate Winslet
",9 avril 2014,Divergente,"
                2,5",Neil Burger,"
                3,9"
260,"
                Avec
                                                                                                                                        Mark Ruffalo,
                                                                                                                        Zoe Saldana,
                                                                                                                        Imogene Wolodarsky
",8 juillet 2015,Daddy Cool,"
                3,5",Maya Forbes,"
                3,5"
261,"
                Avec
                                                                                                                                        Annabelle Wallis,
                                                                                                                        Ward Horton,
                                                                                                                        Alfre Woodard
",8 octobre 2014,Annabelle,"
                2,1",John R. Leonetti,"
                2,2"
262,"
                Avec
                                                                                                                                        Ricardo Darín,
                                                                                                                        Oscar Martinez,
                                                                                                                        Leonardo Sbaraglia
",14 janvier 2015,Les Nouveaux sauvages,"
                3,5",Damián Szifron,"
                4,1"
263,"
                Avec
                                                                                                                                        Chris Evans,
                                                                                                                        Scarlett Johansson,
                                                                                                                        Anthony Mackie
",26 mars 2014,"Captain America, le soldat de l'hiver","
                3,2",Anthony Russo,"
                4,0"
264,"
                Avec
                                                                                                                                        Jean Dujardin,
                                                                                                                        Gilles Lellouche,
                                                                                                                        Benoît Magimel
",3 décembre 2014,La French,"
                3,7",Cédric Jimenez,"
                4,1"
265,"
                Avec
                                                                                                                                        Maika Monroe,
                                                                                                                        Keir Gilchrist,
                                                                                                                        Daniel Zovatto
",4 février 2015,It Follows,"
                4,4",David Robert Mitchell,"
                3,4"
266,"
                Avec
                                                                                                                                        Reese Witherspoon,
                                                                                                                        Gaby Hoffmann,
                                                                                                                        Laura Dern
",14 janvier 2015,Wild,"
                3,0",Jean-Marc Vallée,"
                3,8"
267,"
                Avec
                                                                                                                                        Shane Harper,
                                                                                                                        Kevin Sorbo,
                                                                                                                        David A.R. White
",20 septembre 2017,Dieu n'est pas mort,"
                0",Harold Cronk,"
                3,5"
268,"
                Avec
                                                                                                                                        Scarlett Johansson,
                                                                                                                        Morgan Freeman,
                                                                                                                        Min-sik Choi
",6 août 2014,Lucy,"
                2,6",Luc Besson,"
                3,0"
269,"
                Avec
                                                                                                                                        Jonny Weston,
                                                                                                                        Sofia Black D'Elia,
                                                                                                                        Michelle DeFraites
",25 février 2015,Projet Almanac,"
                2,0",Dean Israelite,"
                3,4"
270,"
                Avec
                                                                                                                                        Catherine Deneuve,
                                                                                                                        Rod Paradot,
                                                                                                                        Benoît Magimel
",13 mai 2015,La Tête haute,"
                3,9",Emmanuelle Bercot,"
                4,1"
271,"
                Avec
                                                                                                                                        Vincent Cassel,
                                                                                                                        Léa Seydoux,
                                                                                                                        André Dussollier
",12 février 2014,La Belle et La Bête,"
                3,1",Christophe Gans,"
                3,1"
272,"
                Avec
                                                                                                                                        Jake Gyllenhaal,
                                                                                                                        Rene Russo,
                                                                                                                        Riz Ahmed
",26 novembre 2014,Night Call,"
                3,8",Dan Gilroy,"
                4,1"
273,"
                Avec
                                                                                                                                        Vincent Cassel,
                                                                                                                        François Cluzet,
                                                                                                                        Lola Le Lann
",24 juin 2015,Un moment d'égarement,"
                2,6",Jean-François Richet,"
                3,3"
274,"
                Avec
                                                                                                                                        Michelle Monaghan,
                                                                                                                        James Marsden,
                                                                                                                        Liana Liberato
",24 avril 2015,Une seconde chance,"
                0",Michael Hoffman,"
                4,0"
275,"
                Avec
                                                                                                                                        Michael Keaton,
                                                                                                                        Zach Galifianakis,
                                                                                                                        Edward Norton
",25 février 2015,Birdman,"
                4,0",Alejandro González Iñárritu,"
                3,9"
276,"
                Avec
                                                                                                                                        Tom Cruise,
                                                                                                                        Emily Blunt,
                                                                                                                        Bill Paxton
",4 juin 2014,Edge Of Tomorrow,"
                3,5",Doug Liman,"
                4,1"
277,"
                Avec
                                                                                                                                        Brad Pitt,
                                                                                                                        Shia LaBeouf,
                                                                                                                        Logan Lerman
",22 octobre 2014,Fury,"
                3,3",David Ayer,"
                4,1"
278,"
                Avec
                                                                                                                                        Jack O'Connell,
                                                                                                                        Domhnall Gleeson,
                                                                                                                        Garrett Hedlund
",7 janvier 2015,Invincible,"
                3,0",Angelina Jolie,"
                4,1"
279,"
                Avec
                                                                                                                                        Lily Collins,
                                                                                                                        Sam Claflin,
                                                                                                                        Christian Cooke
",28 octobre 2015,"Love, Rosie","
                0",Christian Ditter,"
                4,2"
280,"
                Avec
                                                                                                                                        Ethan Hawke,
                                                                                                                        Sarah Snook,
                                                                                                                        Noah Taylor
",1 décembre 2014,Predestination,"
                0",Michael Spierig,"
                3,9"
281,"
                Avec
                                                                                                                                        Angelina Jolie,
                                                                                                                        Elle Fanning,
                                                                                                                        Sharlto Copley
",28 mai 2014,Maléfique,"
                3,5",Robert Stromberg,"
                3,9"
282,"
                Avec
                                                                                                                                        Michael Pitt,
                                                                                                                        Brit Marling,
                                                                                                                        Astrid Bergès-Frisbey
",24 septembre 2014,I Origins,"
                3,0",Mike Cahill (II),"
                4,1"
283,"
                Avec
                                                                                                                                        Anne Hathaway,
                                                                                                                        Lola Kirke,
                                                                                                                        Mary Steenburgen
",24 juin 2015,Song One,"
                0",Kate Barker-Froyland,"
                2,7"
284,"
                Avec
                                                                                                                                        Aaron Taylor-Johnson,
                                                                                                                        Bryan Cranston,
                                                                                                                        Ken Watanabe
",14 mai 2014,Godzilla,"
                3,5",Gareth Edwards (II),"
                2,9"
285,"
                Avec
                                                                                                                                        Kyan Khojandi,
                                                                                                                        Maxime Baudouin,
                                                                                                                        Damien Ferrette
",11 février 2015,Les Nouveaux Héros,"
                3,8",Don Hall,"
                4,3"
286,"
                Avec
                                                                                                                                        Cameron Diaz,
                                                                                                                        Jason Segel,
                                                                                                                        Rob Corddry
",10 septembre 2014,Sex Tape,"
                2,2",Jake Kasdan,"
                1,9"
287,"
                Avec
                                                                                                                                        Denzel Washington,
                                                                                                                        Chloë Grace Moretz,
                                                                                                                        Marton Csokas
",1 octobre 2014,Equalizer,"
                3,1",Antoine Fuqua,"
                4,0"
288,"
                Avec
                                                                                                                                        Alicia Vikander,
                                                                                                                        Kit Harington,
                                                                                                                        Taron Egerton
",23 septembre 2015,Mémoires de jeunesse,"
                3,6",James Kent,"
                4,0"
289,"
                Avec
                                                                                                                                        Thomas Blumenthal,
                                                                                                                        Alice Isaaz,
                                                                                                                        Jean-Baptiste Lafarge
",2 avril 2014,La Crème de la Crème,"
                3,3",Kim Chapiron,"
                3,1"
290,"
                Avec
                                                                                                                                        Diego Luna,
                                                                                                                        Zoe Saldana,
                                                                                                                        Channing Tatum
",22 octobre 2014,La Légende de Manolo,"
                3,6",Jorge R. Gutierrez,"
                4,0"
291,"
                Avec
                                                                                                                                        Joséphine Japy,
                                                                                                                        Lou de Laâge,
                                                                                                                        Isabelle Carré
",12 novembre 2014,Respire,"
                3,5",Mélanie Laurent,"
                3,9"
