,actor,date,movie,press_rating,producer,spectators_rating
111,"
                Avec
                                                                                                                                        Gérard Lanvin,
                                                                                                                        Tchéky Karyo,
                                                                                                                        Daniel Duval
",30 novembre 2011,Les Lyonnais,"
                2,8",Olivier Marchal,"
                3,8"
112,"
                Avec
                                                                                                                                        Jodie Foster,
                                                                                                                        Kate Winslet,
                                                                                                                        Christoph Waltz
",7 décembre 2011,Carnage,"
                3,5",Roman Polanski,"
                3,4"
113,"
                Avec
                                                                                                                                        Kristen Connolly,
                                                                                                                        Chris Hemsworth,
                                                                                                                        Anna Hutchison
",2 mai 2012,La Cabane dans les bois,"
                3,5",Drew Goddard,"
                2,9"
114,"
                Avec
                                                                                                                                        Emily Browning,
                                                                                                                        Abbie Cornish,
                                                                                                                        Jena Malone
",30 mars 2011,Sucker Punch,"
                3,0",Zack Snyder,"
                3,3"
115,"
                Avec
                                                                                                                                        Noémie Lvovsky,
                                                                                                                        Samir Guesmi,
                                                                                                                        Judith Chemla
",12 septembre 2012,Camille Redouble,"
                4,1",Noémie Lvovsky,"
                3,3"
116,"
                Avec
                                                                                                                                        Sophie Marceau,
                                                                                                                        Gad Elmaleh,
                                                                                                                        Maurice Barthélémy
",27 juin 2012,Un Bonheur n'arrive jamais seul,"
                2,4",James Huth,"
                3,4"
117,"
                Avec
                                                                                                                                        Zoé Héran,
                                                                                                                        Malonn Lévana,
                                                                                                                        Jeanne Disson
",20 avril 2011,Tomboy,"
                4,2",Céline Sciamma,"
                3,7"
118,"
                Avec
                                                                                                                                        Ryan Reynolds,
                                                                                                                        Blake Lively,
                                                                                                                        Peter Sarsgaard
",10 août 2011,Green Lantern,"
                2,0",Martin Campbell,"
                2,5"
119,"
                Avec
                                                                                                                                        Deborah Révy,
                                                                                                                        Hélène Zimmer,
                                                                                                                        Gowan Didi
",14 septembre 2011,Q,"
                1,6",Laurent Bouhnik,"
                2,2"
120,"
                Avec
                                                                                                                                        Bruce Willis,
                                                                                                                        Joseph Gordon-Levitt,
                                                                                                                        Emily Blunt
",31 octobre 2012,Looper,"
                3,9",Rian Johnson,"
                3,8"
121,"
                Avec
                                                                                                                                        Bernard Campan,
                                                                                                                        Jean-Pierre Darroussin,
                                                                                                                        Eric Elmosnino
",23 octobre 2013,Le Coeur des hommes 3,"
                1,8",Marc Esposito,"
                2,9"
122,"
                Avec
                                                                                                                                        Jennifer Lawrence,
                                                                                                                        Josh Hutcherson,
                                                                                                                        Liam Hemsworth
",21 mars 2012,Hunger Games,"
                3,4",Gary Ross,"
                3,9"
123,"
                Avec
                                                                                                                                        Robert Downey Jr.,
                                                                                                                        Chris Evans,
                                                                                                                        Mark Ruffalo
",25 avril 2012,Avengers,"
                4,0",Joss Whedon,"
                4,2"
124,"
                Avec
                                                                                                                                        Jamie Foxx,
                                                                                                                        Christoph Waltz,
                                                                                                                        Leonardo DiCaprio
",16 janvier 2013,Django Unchained,"
                4,5",Quentin Tarantino,"
                4,5"
125,"
                Avec
                                                                                                                                        Tom Hanks,
                                                                                                                        Halle Berry,
                                                                                                                        Jim Broadbent
",13 mars 2013,Cloud Atlas,"
                3,4",Lana Wachowski,"
                4,0"
126,"
                Avec
                                                                                                                                        Matthew McConaughey,
                                                                                                                        Reese Witherspoon,
                                                                                                                        Tye Sheridan
",1 mai 2013,Mud - Sur les rives du Mississippi,"
                4,1",Jeff Nichols,"
                4,2"
127,"
                Avec
                                                                                                                                        Suraj Sharma,
                                                                                                                        Irrfan Khan,
                                                                                                                        Adil Hussain
",19 décembre 2012,L'Odyssée de Pi,"
                3,6",Ang Lee,"
                4,1"
128,"
                Avec
                                                                                                                                        Bradley Cooper,
                                                                                                                        Jennifer Lawrence,
                                                                                                                        Robert De Niro
",30 janvier 2013,Happiness Therapy,"
                3,5",David O. Russell,"
                3,9"
129,"
                Avec
                                                                                                                                        David Oakes,
                                                                                                                        Tom Kane,
                                                                                                                        Florence Hall
",24 septembre 2012,Action ou vérité,"
                0",Robert Heath,"
                3,0"
130,"
                Avec
                                                                                                                                        Ethan Hawke,
                                                                                                                        Juliet Rylance,
                                                                                                                        Fred Dalton Thompson
",7 novembre 2012,Sinister,"
                3,2",Scott Derrickson,"
                3,7"
131,"
                Avec
                                                                                                                                        Jessica Biel,
                                                                                                                        Jodelle Ferland,
                                                                                                                        Stephen McHattie
",5 septembre 2012,The Secret,"
                2,6",Pascal Laugier,"
                3,0"
132,"
                Avec
                                                                                                                                        Bruce Willis,
                                                                                                                        Edward Norton,
                                                                                                                        Bill Murray
",16 mai 2012,Moonrise Kingdom,"
                3,7",Wes Anderson,"
                4,0"
133,"
                Avec
                                                                                                                                        Noomi Rapace,
                                                                                                                        Michael Fassbender,
                                                                                                                        Charlize Theron
",30 mai 2012,Prometheus,"
                3,4",Ridley Scott,"
                3,3"
134,"
                Avec
                                                                                                                                        Johan Heldenbergh,
                                                                                                                        Veerle Baetens,
                                                                                                                        Nell Cattrysse
",28 août 2013,Alabama Monroe,"
                3,7",Felix Van Groeningen,"
                4,4"
