,actors,date,movie,press_rating,producer,spectators_rating
2417,Barthélémy Grossmann ; Lucien Jean-Baptiste ; Youssef Hajdi ; ,20 juin 2007,13m²,3.4,Barthélémy Grossmann ; ,2.2
2418,Richard Berry ; Charles Berling ; Jean-Pierre Darroussin ; ,18 avril 2001,15 août,2.9,Patrick Alessandrin ; ,2.0
2419,Barry Bostwick ; Renée O'Connor ; Matt Lagan ; ,/,2010: Moby Dick,,Trey Stokes ; ,2.6
2420,Josh Hutcherson ; Emir Kusturica ; Daniel Brühl ; ,30 mai 2012,7 jours à la Havane,1.9,Benicio Del Toro ; Pablo Trapero ; Julio Medem ; ,3.1
2421,Philip Seymour Hoffman ; Ethan Hawke ; Marisa Tomei ; ,26 septembre 2007,7h58 ce samedi-là,3.8,Sidney Lumet ; ,3.4
2422,Lionel Abelanski ; Christine Citti ; Macha Méril ; ,25 mai 2016,A dix minutes des naturistes,,Stéphane Clavier ; ,3.2
2423,Ariane Ascaride ; Gérard Meylan ; Jacques Boudet ; ,11 octobre 1995,"A la vie, à la mort !",,Robert Guédiguian ; ,3.3
2424,Ann-Sofie Kylin ; Rolf Sohlman ; Bjorn Andresen ; ,4 juin 2008,A Swedish Love Story,4.2,Roy Andersson ; ,3.5
2425,Philip Kwok ; Bowie Lam ; John Woo ; ,3 octobre 2000,A toute épreuve,,John Woo ; ,3.8
2426,Carlos Echevarría ; Javier De Pietro ; Antonella Costa ; ,27 juillet 2011,Absent,2.8,Marco Berger ; ,2.7
2427,Griffin Dunne ; Rosanna Arquette ; Verna Bloom ; ,16 mai 1986,After Hours,,Martin Scorsese ; ,3.8
2428,Lou Diamond Phillips ; Toshirô Mifune ; Jennifer Tilly ; ,24 mars 1993,Agaguk,,Jacques Dorfmann ; ,2.7
2429,Kelly Hu ; Robert Picardo ; Nick Stellate ; ,23 février 2016,Age of Tomorrow,,James Kondelik ; ,1.8
2430,Claudia Koll ; Paolo Lanza ; Ornella Marcucci ; ,18 mai 2006,All Ladies do it,,Tinto Brass ; ,3.0
2431,Richard Gere ; Lauren Hutton ; Hector Elizondo ; ,9 juin 1980,American Gigolo,,Paul Schrader ; ,2.8
2432,Owen Wilson ; Zach Galifianakis ; Amy Poehler ; ,4 septembre 2017,Amis pour la vie,,Matthew Weiner ; ,2.2
2433,Burt Young ; Rutanya Alda ; James Olson ; ,5 janvier 1983,"Amityville 2, Le Possédé",,Damiano Damiani ; ,3.1
2434,Elie Semoun ; Jacques Perrin ; Yves Lecoq ; ,9 février 2011,Animaux et Cie,1.9,Reinhard Klooss ; Holger Tappe ; ,2.4
2435,Agnes Bruckner ; Martin Landau ; Adam Goldberg ; ,18 mars 2017,Anna Nicole : star déchue,,Mary Harron ; ,3.1
2436,Mischa Barton ; Rebecca De Mornay ; Julianne Michelle ; ,15 octobre 2013,Apartment 1303 3D,,Michele Taverna ; ,1.5
2437,Fisher Stevens ; Michael McKean ; Cynthia Gibb ; ,20 octobre 2005,Appelez-moi Johnny 5,,Kenneth Johnson ; ,3.6
2438,Clément Métayer ; Lola Creton ; Félix Armand ; ,14 novembre 2012,Après Mai,3.8,Olivier Assayas ; ,2.6
2439,,22 novembre 2017,Argent amer,3.9,Wang Bing ; ,3.0
2440,Colin Firth ; Emily Blunt ; Lucas Hedges ; ,7 mai 2014,Arthur Newman,2.3,Dante Ariola ; ,2.8
2441,Russell Brand ; Jennifer Garner ; Helen Mirren ; ,11 mai 2011,"Arthur, un amour de Milliardaire",,Jason Winer ; ,2.7
2442,Roger Carel ; Jacques Frantz ; Lorànt Deutsch ; ,12 avril 2006,Astérix et les Vikings,2.9,Stefan Fjeldmark ; Jesper Møller ; ,2.5
2443,Dennis Quaid ; Zac Efron ; Clancy Brown ; ,28 septembre 2016,At Any Price,,Ramin Bahrani ; ,3.1
