,actors,date,movie,press_rating,producer,spectators_rating
206,Benoît Poelvoorde ; Laetitia Casta ; Richard Bohringer ; ,9 janvier 2013,Une Histoire d'amour,2.1,Hélène Fillières,1.8
207,Christian Clavier ; Isabelle Nanty ; Pierre-François Martin-Laval ; ,17 avril 2013,Les Profs,2.2,Pierre-François Martin-Laval,2.7
208,Chris Hemsworth ; Daniel Brühl ; Olivia Wilde ; ,25 septembre 2013,Rush,4.0,Ron Howard,4.4
209,Mark Wahlberg ; Dwayne Johnson ; Ed Harris ; ,11 septembre 2013,No Pain No Gain,3.1,Michael Bay,3.3
210,Henry Cavill ; Amy Adams ; Michael Shannon ; ,19 juin 2013,Man of Steel,3.3,Zack Snyder,3.6
211,Jake Gyllenhaal ; Mélanie Laurent ; Sarah Gadon ; ,27 août 2014,Enemy,3.5,Denis Villeneuve,2.9
212,James McAvoy ; Vincent Cassel ; Rosario Dawson ; ,8 mai 2013,Trance,2.9,Danny Boyle,3.8
213,Chris Hemsworth ; Natalie Portman ; Tom Hiddleston ; ,30 octobre 2013,Thor : Le Monde des ténèbres,2.8,Alan Taylor,3.7
214,Ryan Gosling ; Bradley Cooper ; Eva Mendes ; ,20 mars 2013,The Place Beyond the Pines,3.6,Derek Cianfrance,4.0
215,Nicholas Hoult ; Teresa Palmer ; Analeigh Tipton ; ,20 mars 2013,Warm Bodies,3.3,Jonathan Levine,3.8
216,Bruce Willis ; John Malkovich ; Mary-Louise Parker ; ,28 août 2013,Red 2,2.7,Dean Parisot,3.5
217,Sandra Bullock ; George Clooney ; Ed Harris ; ,23 octobre 2013,Gravity,4.6,Alfonso Cuarón,3.9
218,Ethan Hawke ; Lena Headey ; Max Burkholder ; ,7 août 2013,American Nightmare,2.5,James DeMonaco,2.6
219,Robert Downey Jr. ; Gwyneth Paltrow ; Don Cheadle ; ,24 avril 2013,Iron Man 3,3.2,Shane Black,4.0
220,Ben Stiller ; Kristen Wiig ; Shirley MacLaine ; ,1 janvier 2014,La Vie rêvée de Walter Mitty,3.2,Ben Stiller,4.0
221,Jack O'Connell ; Paul Anderson (XVIII) ; Sam Reid ; ,5 novembre 2014,'71,3.9,Yann Demange,3.9
222,Matt Damon ; Jodie Foster ; Sharlto Copley ; ,14 août 2013,Elysium,2.7,Neill Blomkamp,3.4
223,Romain Duris ; Audrey Tautou ; Gad Elmaleh ; ,24 avril 2013,L'Ecume des jours,3.0,Michel Gondry,2.6
224,Félix Bossuet ; Tchéky Karyo ; Margaux Chatelier ; ,18 décembre 2013,Belle et Sébastien,2.8,Nicolas Vanier,4.1
225,Karin Viard ; Bouli Lanners ; Pascal Demolon ; ,22 janvier 2014,Lulu femme nue,3.8,Solveig Anspach,3.6
226,Jacques Gamblin ; Alexandra Lamy ; Fabien Héraud ; ,26 mars 2014,De toutes nos forces,3.2,Nils Tavernier,4.1
227,Sylvester Stallone ; Arnold Schwarzenegger ; Jim Caviezel ; ,13 novembre 2013,Evasion,1.6,Mikael Hafstrom,3.6
228,Chris Evans ; Jamie Bell ; Tilda Swinton ; ,30 octobre 2013,"Snowpiercer, Le Transperceneige",4.1,Joon-Ho Bong,3.4
229,Charlotte Gainsbourg ; Stellan Skarsgård ; Stacy Martin ; ,29 janvier 2014,Nymphomaniac - Volume 2,2.8,Lars von Trier,3.1
230,Channing Tatum ; Jamie Foxx ; Maggie Gyllenhaal ; ,4 septembre 2013,White House Down,2.9,Roland Emmerich,3.4
231,Virginie Efira ; Pierre Niney ; Gilles Cohen ; ,6 mars 2013,20 ans d'écart,3.6,David Moreau,3.8
232,Forest Whitaker ; Oprah Winfrey ; Mariah Carey ; ,11 septembre 2013,Le Majordome,3.2,Lee Daniels,4.3
233,Jessica Chastain ; Nikolaj Coster-Waldau ; Megan Charpentier ; ,15 mai 2013,Mamá,3.1,Andy Muschietti,3.6
234,Tom Cruise ; Olga Kurylenko ; Morgan Freeman ; ,10 avril 2013,Oblivion,2.9,Joseph Kosinski,3.6
235,Emmylou Homs ; Anaïs Delva ; Donald Reignoux ; ,4 décembre 2013,La Reine des neiges,3.5,Chris Buck,4.2
236,Naomi Watts ; Robin Wright ; Xavier Samuel ; ,3 avril 2013,Perfect Mothers,3.1,Anne Fontaine,3.4
237,Bruce Willis ; Channing Tatum ; Dwayne Johnson ; ,27 mars 2013,G.I. Joe : Conspiration,2.5,Jon M. Chu,2.7
238,Robert Sheehan ; Dev Patel ; Zoë Kravitz ; ,12 décembre 2017,The Road Within,,Gren Wells,4.1
239,Rickson Tevez ; Eduardo Luis ; Gabriel Weinstein ; ,12 novembre 2014,Favelas,2.8,Stephen Daldry,3.8
240,Eddie Redmayne ; Felicity Jones ; Tom Prior ; ,21 janvier 2015,Une merveilleuse histoire du temps,3.3,James Marsh,4.3
241,Kyan Khojandi ; Damon Gameau ; Hugh Jackman ; ,24 janvier 2018,Sugarland,3.5,Damon Gameau,4.1
242,Matthew McConaughey ; Anne Hathaway ; Michael Caine ; ,5 novembre 2014,Interstellar,3.8,Christopher Nolan,4.5
243,Dylan O'Brien ; Aml Ameen ; Will Poulter ; ,15 octobre 2014,Le Labyrinthe,3.4,Wes Ball,3.8
244,Keanu Reeves ; Michael Nyqvist ; Alfie Allen ; ,29 octobre 2014,John Wick,2.9,David Leitch,3.6
245,Benicio Del Toro ; Josh Hutcherson ; Claudia Traisac ; ,5 novembre 2014,Paradise Lost,2.9,Andrea Di Stefano,3.6
246,Domhnall Gleeson ; Alicia Vikander ; Oscar Isaac ; ,3 juin 2015,Ex Machina,3.3,Alex Garland,3.9
247,Denzel Washington ; Chloë Grace Moretz ; Marton Csokas ; ,1 octobre 2014,Equalizer,3.1,Antoine Fuqua,4.0
248,Ben Affleck ; Rosamund Pike ; Neil Patrick Harris ; ,8 octobre 2014,Gone Girl,4.0,David Fincher,4.3
249,Christian Clavier ; Chantal Lauby ; Ary Abittan ; ,16 avril 2014,Qu'est-ce qu'on a fait au Bon Dieu?,3.8,Philippe de Chauveron,3.8
250,Viviane Pascal ; Antoine-Olivier Pilon ; Anne Dorval ; ,8 octobre 2014,Mommy,4.3,Xavier Dolan,4.5
251,Chris Pratt ; Zoe Saldana ; Dave Bautista ; ,13 août 2014,Les Gardiens de la Galaxie,3.8,James Gunn (II),4.2
252,Benedict Cumberbatch ; Keira Knightley ; Matthew Goode ; ,28 janvier 2015,Imitation Game,3.4,Morten Tyldum,4.3
253,Géraldine Nakache ; Judith Chemla ; Yaël Abecassis ; ,21 janvier 2015,Rendez-vous à Atlit,3.3,Shirel Amitaï,2.5
254,Reese Witherspoon ; Gaby Hoffmann ; Laura Dern ; ,14 janvier 2015,Wild,3.0,Jean-Marc Vallée,3.8
255,Miles Teller ; J.K. Simmons ; Paul Reiser ; ,24 décembre 2014,Whiplash,4.1,Damien Chazelle,4.5
256,Shailene Woodley ; Ansel Elgort ; Nat Wolff ; ,20 août 2014,Nos étoiles contraires,2.8,Josh Boone,4.3
257,Guillaume Gallienne ; Hugh Bonneville ; Sally Hawkins ; ,3 décembre 2014,Paddington,4.0,Paul King,3.9
258,Kheiron ; Leïla Bekhti ; Gérard Darmon ; ,4 novembre 2015,Nous trois ou rien,3.6,Kheiron,4.4
259,Mathieu Kassovitz ; Marie-Josée Croze ; Eric Caravaca ; ,19 novembre 2014,Un illustre inconnu,3.1,Matthieu Delaporte,3.4
260,Geert Van Rampelberg ; Ina Geerts ; Johan Van Assche ; ,30 décembre 2015,The Beast,2.9,Hans Herbots,3.3
261,Shailene Woodley ; Theo James ; Kate Winslet ; ,9 avril 2014,Divergente,2.5,Neil Burger,3.9
262,Clovis Cornillac ; Mélanie Bernier ; Lilou Fogli ; ,6 mai 2015,"Un peu, beaucoup, aveuglément",3.4,Clovis Cornillac,3.7
263,Louane Emera ; Karin Viard ; François Damiens ; ,17 décembre 2014,La Famille Bélier,3.7,Eric Lartigau,4.0
264,Ricardo Darín ; Oscar Martinez ; Leonardo Sbaraglia ; ,14 janvier 2015,Les Nouveaux sauvages,3.5,Damián Szifron,4.1
265,Scarlett Johansson ; Morgan Freeman ; Min-sik Choi ; ,6 août 2014,Lucy,2.6,Luc Besson,3.0
266,Nicole Kidman ; Colin Firth ; Mark Strong ; ,24 septembre 2014,Avant d'aller dormir,2.3,Rowan Joffe,3.3
267,Olivia Cooke ; Ana Coto ; Daren Kagasoff ; ,29 avril 2015,Ouija,2.3,Stiles White,2.1
268,Vincent Cassel ; François Cluzet ; Lola Le Lann ; ,24 juin 2015,Un moment d'égarement,2.6,Jean-François Richet,3.3
269,Mark Ruffalo ; Zoe Saldana ; Imogene Wolodarsky ; ,8 juillet 2015,Daddy Cool,3.5,Maya Forbes,3.5
270,Michael Pitt ; Brit Marling ; Astrid Bergès-Frisbey ; ,24 septembre 2014,I Origins,3.0,Mike Cahill (II),4.1
271,Jean Dujardin ; Gilles Lellouche ; Benoît Magimel ; ,3 décembre 2014,La French,3.7,Cédric Jimenez,4.1
272,Catherine Deneuve ; Rod Paradot ; Benoît Magimel ; ,13 mai 2015,La Tête haute,3.9,Emmanuelle Bercot,4.1
273,Shane Harper ; Kevin Sorbo ; David A.R. White ; ,20 septembre 2017,Dieu n'est pas mort,,Harold Cronk,3.5
274,Jack O'Connell ; Domhnall Gleeson ; Garrett Hedlund ; ,7 janvier 2015,Invincible,3.0,Angelina Jolie,4.1
275,Anne Hathaway ; Lola Kirke ; Mary Steenburgen ; ,24 juin 2015,Song One,,Kate Barker-Froyland,2.7
276,Hugh Jackman ; James McAvoy ; Michael Fassbender ; ,21 mai 2014,X-Men: Days of Future Past,3.8,Bryan Singer,4.2
277,Michelle Monaghan ; James Marsden ; Liana Liberato ; ,24 avril 2015,Une seconde chance,,Michael Hoffman,4.0
278,Jake Gyllenhaal ; Rene Russo ; Riz Ahmed ; ,26 novembre 2014,Night Call,3.8,Dan Gilroy,4.1
279,Annabelle Wallis ; Ward Horton ; Alfre Woodard ; ,8 octobre 2014,Annabelle,2.1,John R. Leonetti,2.2
280,Manuela Velasco ; Paco Manzanedo ; Héctor Colomé ; ,12 novembre 2014,[REC] 4,1.6,Jaume Balagueró,2.0
281,Ethan Hawke ; Sarah Snook ; Noah Taylor ; ,1 décembre 2014,Predestination,,Michael Spierig,3.9
282,Brad Pitt ; Shia LaBeouf ; Logan Lerman ; ,22 octobre 2014,Fury,3.3,David Ayer,4.1
283,Michael Keaton ; Zach Galifianakis ; Edward Norton ; ,25 février 2015,Birdman,4.0,Alejandro González Iñárritu,3.9
284,Chris Evans ; Scarlett Johansson ; Anthony Mackie ; ,26 mars 2014,"Captain America, le soldat de l'hiver",3.2,Anthony Russo,4.0
285,Jonny Weston ; Sofia Black D'Elia ; Michelle DeFraites ; ,25 février 2015,Projet Almanac,2.0,Dean Israelite,3.4
286,Christian Bale ; Joel Edgerton ; John Turturro ; ,24 décembre 2014,Exodus: Gods And Kings,3.2,Ridley Scott,2.9
287,Maika Monroe ; Keir Gilchrist ; Daniel Zovatto ; ,4 février 2015,It Follows,4.4,David Robert Mitchell,3.4
288,Azize Diabate Abdoulaye ; Pascal N'Zonzi ; Oxmo Puccino ; ,21 octobre 2015,Adama,3.7,Simon Rouby,3.7
289,Andy Serkis ; Jason Clarke ; Gary Oldman ; ,30 juillet 2014,La Planète des singes : l'affrontement,3.6,Matt Reeves,4.0
290,Pio Marmai ; Lannick Gautry ; Adrianna Gradziel ; ,28 janvier 2015,Toute première fois,3.1,Noémie Saglio,3.4
291,Sylvester Stallone ; Jason Statham ; Arnold Schwarzenegger ; ,20 août 2014,Expendables 3,2.6,Patrick Hughes (II),3.2
292,Tom Cruise ; Emily Blunt ; Bill Paxton ; ,4 juin 2014,Edge Of Tomorrow,3.5,Doug Liman,4.1
293,Thomas Blumenthal ; Alice Isaaz ; Jean-Baptiste Lafarge ; ,2 avril 2014,La Crème de la Crème,3.3,Kim Chapiron,3.1
294,David Oyelowo ; Tom Wilkinson ; Carmen Ejogo ; ,11 mars 2015,Selma,3.3,Ava DuVernay,4.1
295,Sullivan Stapleton ; Eva Green ; Lena Headey ; ,5 mars 2014,300 : La naissance d'un Empire,2.5,Noam Murro,3.3
296,Cameron Diaz ; Jason Segel ; Rob Corddry ; ,10 septembre 2014,Sex Tape,2.2,Jake Kasdan,1.9
297,Andrew Garfield ; Emma Stone ; Jamie Foxx ; ,30 avril 2014,The Amazing Spider-Man : le destin d'un Héros,3.0,Marc Webb,3.6
298,Anthony Hopkins ; Jeffrey Dean Morgan ; Abbie Cornish ; ,9 septembre 2015,Prémonitions,2.8,Afonso Poyart,3.5
299,Robert De Niro ; Anne Hathaway ; Rene Russo ; ,7 octobre 2015,Le Nouveau stagiaire,2.9,Nancy Meyers,3.8
300,Melvil Poupaud ; Dominique Blanc ; Diane Rouxel ; ,16 septembre 2015,Fou d'amour,3.4,Philippe Ramos,3.2
301,Charlize Theron ; Sterling Jerins ; Nicholas Hoult ; ,8 avril 2015,Dark Places,3.0,Gilles Paquet-Brenner,3.4
302,Jason Statham ; Michael Angarano ; Milo Ventimiglia ; ,14 janvier 2015,Joker,2.2,Simon West,2.0
303,Sharlto Copley ; Dev Patel ; Hugh Jackman ; ,4 mars 2015,Chappie,3.3,Neill Blomkamp,3.7
304,Jamie Dornan ; Dakota Johnson ; Jennifer Ehle ; ,11 février 2015,Cinquante Nuances de Grey,2.1,Sam Taylor-Johnson,2.6
305,Will Smith ; Margot Robbie ; Rodrigo Santoro ; ,25 mars 2015,Diversion,2.7,Glenn Ficarra,3.2
306,Julia Roberts ; Chiwetel Ejiofor ; Nicole Kidman ; ,23 mars 2016,Aux yeux de tous,2.5,Billy Ray,3.2
307,Will Smith ; Alec Baldwin ; Albert Brooks ; ,9 mars 2016,Seul contre tous,2.9,Peter Landesman,3.9
308,Colin Firth ; Samuel L. Jackson ; Taron Egerton ; ,18 février 2015,Kingsman : Services secrets,3.9,Matthew Vaughn,4.3
309,Dermot Mulroney ; Stefanie Scott ; Angus Sampson ; ,8 juillet 2015,Insidious : Chapitre 3,2.3,Leigh Whannell,3.2
310,Claudio Santamaria ; Luca Marinelli ; Ilenia Pastorelli ; ,3 mai 2017,On l’appelle Jeeg Robot,3.3,Gabriele Mainetti,3.3
311,Daisy Ridley ; John Boyega ; Adam Driver ; ,16 décembre 2015,Star Wars - Le Réveil de la Force,4.0,J.J. Abrams,3.7
312,Samuel L. Jackson ; Kurt Russell ; Jennifer Jason Leigh ; ,6 janvier 2016,Les Huit salopards,3.3,Quentin Tarantino,4.1
313,Matt Damon ; Jessica Chastain ; Kristen Wiig ; ,21 octobre 2015,Seul sur Mars,3.4,Ridley Scott,4.1
314,Charlotte Le Bon ; Pierre Niney ; Mélanie Laurent ; ,17 juin 2015,Vice Versa,4.7,Pete Docter,4.3
315,Tomer Sisley ; Terence Yin ; Pascal Greggory ; ,5 avril 2017,Le Serpent aux mille coupures,3.0,Eric Valette,2.4
316,Brie Larson ; Jacob Tremblay ; Joan Allen ; ,9 mars 2016,Room,3.6,Lenny Abrahamson,4.4
317,Leonardo DiCaprio ; Tom Hardy ; Domhnall Gleeson ; ,24 février 2016,The Revenant,3.8,Alejandro González Iñárritu,4.2
318,Karl Glusman ; Aomi Muyock ; Klara Kristin ; ,15 juillet 2015,Love,3.3,Gaspar Noé,3.2
319,Jason Clarke ; Jake Gyllenhaal ; Josh Brolin ; ,23 septembre 2015,Everest,2.9,Baltasar Kormákur,3.9
320,Robert Downey Jr. ; Chris Evans ; Mark Ruffalo ; ,22 avril 2015,Avengers : L'ère d'Ultron,2.9,Joss Whedon,3.9
321,Emily Blunt ; Benicio Del Toro ; Josh Brolin ; ,7 octobre 2015,Sicario,4.0,Denis Villeneuve,3.9
322,Isabelle Huppert ; Laurent Lafitte ; Anne Consigny ; ,25 mai 2016,Elle,4.3,Paul Verhoeven,3.4
323,Hafsia Herzi ; Ash Stymest ; Karole Rocher ; ,7 décembre 2016,Sex Doll,2.5,Sylvie Verheyde,2.2
324,Ed Skrein ; Ray Stevenson ; Loan Chabanol ; ,9 septembre 2015,Le Transporteur Héritage,,Camille Delamarre,2.3
325,Dylan O'Brien ; Ki Hong Lee ; Kaya Scodelario ; ,7 octobre 2015,Le Labyrinthe : La Terre brûlée,3.0,Wes Ball,3.5
326,Gaspard Schlatter ; Sixtine Murat ; Paulin Jaccoud ; ,19 octobre 2016,Ma Vie De Courgette,4.4,Claude Barras,4.4
327,Jake Gyllenhaal ; Rachel McAdams ; Forest Whitaker ; ,22 juillet 2015,La Rage au ventre,3.4,Antoine Fuqua,4.3
328,Sami Bouajila ; Guillaume Gouix ; Redouane Behache ; ,4 mai 2016,Braqueurs,3.3,Julien Leclercq,3.6
329,Eddie Redmayne ; Alicia Vikander ; Ben Whishaw ; ,20 janvier 2016,The Danish Girl,2.7,Tom Hooper,4.1
330,Christian Bale ; Steve Carell ; Ryan Gosling ; ,23 décembre 2015,The Big Short : le Casse du siècle,3.5,Adam McKay,3.6
331,Orelsan ; Gringe ; Seydou Doucouré ; ,9 décembre 2015,Comment c’est loin,3.4,Orelsan,4.1
332,Tom Hardy ; Charlize Theron ; Zoë Kravitz ; ,14 mai 2015,Mad Max: Fury Road,4.4,George Miller,4.2
333,Güneş Nezihe Şensoy ; Doğa Zeynep Doğuşlu ; Elit İşcan ; ,17 juin 2015,Mustang,4.0,Deniz Gamze Ergüven,4.3
334,Mélanie Laurent ; Cyril Dion ; Jeremy Rifkin ; ,2 décembre 2015,Demain,3.8,Cyril Dion,4.6
335,Michael Keaton ; Mark Ruffalo ; Rachel McAdams ; ,27 janvier 2016,Spotlight,4.0,Tom McCarthy,4.2
336,Jean-Paul Rouve ; Isabelle Nanty ; Claire Nadeau ; ,3 février 2016,Les Tuche 2 - Le rêve américain,2.8,Olivier Baroux,2.7
337,Vincent Cassel ; Emmanuelle Bercot ; Louis Garrel ; ,21 octobre 2015,Mon Roi,3.2,Maïwenn,4.0
338,Mia Wasikowska ; Tom Hiddleston ; Jessica Chastain ; ,14 octobre 2015,Crimson Peak,3.4,Guillermo del Toro,3.6
339,Soria Zeroual ; Zita Hanrot ; Kenza Noah Aïche ; ,7 octobre 2015,Fatima,4.3,Philippe Faucon,3.6
340,Bradley Cooper ; Sienna Miller ; Luke Grimes ; ,18 février 2015,American Sniper,3.8,Clint Eastwood,4.1
341,Tom Hanks ; Mark Rylance ; Scott Shepherd (II) ; ,2 décembre 2015,Le Pont des Espions,3.9,Steven Spielberg,4.0
342,Tom Cruise ; Jeremy Renner ; Simon Pegg ; ,12 août 2015,Mission: Impossible - Rogue Nation,3.7,Christopher McQuarrie,4.0
343,Ben Foster ; Chris O'Dowd ; Guillaume Canet ; ,16 septembre 2015,The Program,3.6,Stephen Frears,3.5
344,Kev Adams ; Isabelle Nanty ; Didier Bourdon ; ,1 juillet 2015,Les Profs 2,2.3,Pierre-François Martin-Laval,2.4
345,Philippe Lacheau ; Alice David ; Vincent Desagnat ; ,2 décembre 2015,Babysitting 2,2.2,Nicolas Benamou,3.6
346,Loubna Abidar ; Asmaa Lazrak ; Halima Karaouane ; ,16 septembre 2015,Much Loved,4.0,Nabil Ayouch,3.5
347,Liam Neeson ; Ed Harris ; Joel Kinnaman ; ,11 mars 2015,Night Run,2.5,Jaume Collet-Serra,3.4
348,Keanu Reeves ; Lorenza Izzo ; Ana de Armas ; ,23 septembre 2015,Knock Knock,2.4,Eli Roth,2.0
349,Héloïse Martin ; Sylvie Testud ; Cyril Gueï ; ,26 octobre 2016,Tamara,3.2,Alexandre Castagnetti,3.9
350,Anton Yelchin ; Imogen Poots ; Patrick Stewart ; ,27 avril 2016,Green Room,3.7,Jeremy Saulnier,3.1
351,Kate Winslet ; Liam Hemsworth ; Sarah Snook ; ,27 décembre 2016,Haute couture,,Jocelyn Moorhouse,4.0
352,Pilou Asbæk ; Lars Mikkelsen ; Gustav Dyekjaer Giese ; ,17 octobre 2017,Invasion day,,Roni Ezra,3.1
353,Léonie Souchaud ; Fantine Harduin ; Juliane Lepoureau ; ,18 mai 2016,Le Voyage de Fanny,2.8,Lola Doillon,3.9
354,Vin Diesel ; Paul Walker ; Jason Statham ; ,1 avril 2015,Fast & Furious 7,3.6,James Wan,4.1
355,Shaïn Boumedine ; Ophélie Bau ; Salim Kechiouche ; ,21 mars 2018,Mektoub My Love : Canto Uno,4.0,Abdellatif Kechiche,3.5
356,Leïla Bekhti ; Zita Hanrot ; Bastien Bouillon ; ,28 mars 2018,Carnivores,3.0,Jérémie Renier,2.9
357,François Cluzet ; Nicolas Duvauchelle ; Sophie Verbeeck ; ,28 mars 2018,Le Collier rouge,2.4,Jean Becker,3.1
358,Isabelle Huppert ; Romain Duris ; José Garcia ; ,28 mars 2018,Madame Hyde,3.2,Serge Bozon,2.7
359,Alain Hernández ; Javier Gutiérrez ; Luis Tosar ; ,2 novembre 2017,Insiders: Escape Plan,,Iñaki Dorronsoro,2.8
360,Catherine Deneuve ; Diane Kruger ; Nekfeu ; ,8 novembre 2017,Tout nous sépare,2.8,Thierry Klifa,2.9
361,Ferdia Walsh-Peelo ; Lucy Boynton ; Jack Reynor ; ,26 octobre 2016,Sing Street,3.7,John Carney,4.2
362,Gilles Lellouche ; Louise Bourgoin ; Manu Payet ; ,19 avril 2017,Sous le même toit,2.8,Dominique Farrugia,2.2
363,Dev Patel ; Rooney Mara ; Nicole Kidman ; ,22 février 2017,Lion,3.1,Garth Davis,4.5
364,Céline Sallette ; Lambert Wilson ; Stéphane De Groodt ; ,5 avril 2017,Corporate,3.4,Nicolas Silhol,3.8
365,Viggo Mortensen ; Frank Langella ; George MacKay ; ,12 octobre 2016,Captain Fantastic,3.6,Matt Ross,4.3
366,Garance Marillier ; Ella Rumpf ; Rabah Naït Oufella ; ,15 mars 2017,Grave,4.1,Julia Ducournau,3.6
367,Rebecca Hall ; Dan Stevens ; Gina Gershon ; ,1 mars 2018,Permission,,Brian Crano,2.4
368,Quim Gutiérrez ; Verónica Echegui ; Aura Garrido ; ,8 mars 2018,La Jeune fille et la brume,,Andrés M. Koppel,2.7
369,Ryûnosuke Kamiki ; Mone Kamishiraishi ; Masami Nagasawa ; ,28 décembre 2016,Your Name,4.0,Makoto Shinkai,4.6
370,Emma Booth ; Ashleigh Cummings ; Stephen Curry ; ,12 juillet 2017,Love Hunters,3.4,Ben Young,3.6
371,Nawell Madani ; François Berléand ; Mimoun Benabderrahmane ; ,29 novembre 2017,C'est tout pour moi,3.0,Nawell Madani,4.5
372,Ryan Gosling ; Emma Stone ; John Legend ; ,25 janvier 2017,La La Land,4.4,Damien Chazelle,4.3
373,James McAvoy ; Anya Taylor-Joy ; Betty Buckley ; ,22 février 2017,Split,3.7,M. Night Shyamalan,4.1
374,,27 septembre 2017,L'Intelligence des Arbres,2.8,Julia Dordel,3.8
375,Andrew Garfield ; Vince Vaughn ; Teresa Palmer ; ,9 novembre 2016,Tu ne tueras point,3.0,Mel Gibson,4.5
376,Laetitia Dosch ; Grégoire Monsaingeon ; Souleymane Seye Ndiaye ; ,1 novembre 2017,Jeune Femme,3.9,Léonor Serraille,3.5
377,Kad Merad ; Samir Guesmi ; Renély Alfred ; ,8 novembre 2017,La Mélodie,2.9,Rachid Hami,3.3
378,Garik Kharlamov ; Ivan Okhlobystin ; Olga Zubkova ; ,14 février 2018,La Princesse des glaces,2.6,Aleksey Tsitsilin,3.0
379,Medi Sadoun ; Anne Marivin ; Pascal Demolon ; ,8 mars 2017,Baby Phone,2.5,Olivier Casas,3.0
380,Eddie Redmayne ; Katherine Waterston ; Dan Fogler ; ,16 novembre 2016,Les Animaux fantastiques,3.5,David Yates,4.1
381,Andrew Bargsted ; Francisco Pérez-Bannen ; Eliseo Fernández ; ,14 mars 2018,Mala Junta,2.7,Claudia Huaiquimilla,3.0
382,Emmanuelle Devos ; Suzanne Clément ; Richard Berry ; ,11 octobre 2017,Numéro Une,3.3,Tonie Marshall,3.3
383,Taraji P. Henson ; Octavia Spencer ; Janelle Monáe ; ,8 mars 2017,Les Figures de l'ombre,3.3,Theodore Melfi,4.4
384,Chris Evans ; Robert Downey Jr. ; Scarlett Johansson ; ,27 avril 2016,Captain America: Civil War,3.2,Anthony Russo,4.0
385,Ryan Reynolds ; Morena Baccarin ; Ed Skrein ; ,10 février 2016,Deadpool,3.0,Tim Miller,4.2
386,Brad Pitt ; Marion Cotillard ; Jared Harris ; ,23 novembre 2016,Alliés,2.8,Robert Zemeckis,3.5
387,Charlie Hunnam ; Sienna Miller ; Tom Holland ; ,15 mars 2017,The Lost City of Z,4.5,James Gray,3.8
388,Omar Sy ; Gloria Colston ; Clémence Poésy ; ,7 décembre 2016,Demain Tout Commence,3.2,Hugo Gélin,4.3
389,Guillaume Canet ; Marion Cotillard ; Gilles Lellouche ; ,15 février 2017,Rock'n Roll,3.3,Guillaume Canet,2.7
390,Benedict Cumberbatch ; Chiwetel Ejiofor ; Tilda Swinton ; ,26 octobre 2016,Doctor Strange,3.1,Scott Derrickson,4.0
391,Jennifer Lawrence ; Chris Pratt ; Michael Sheen ; ,28 décembre 2016,Passengers,3.2,Morten Tyldum,3.9
392,Margot Robbie ; Will Smith ; Jared Leto ; ,3 août 2016,Suicide Squad,2.0,David Ayer,2.9
393,Ahmed Sylla ; Alice Belaïdi ; Kevin Razy ; ,25 janvier 2017,L'Ascension,3.6,Ludovic Bernard,4.1
394,Amy Adams ; Jeremy Renner ; Forest Whitaker ; ,7 décembre 2016,Premier Contact,4.1,Denis Villeneuve,4.1
395,Sofia Lesaffre ; Stéphane Bak ; Jean-Stan du Pac ; ,8 février 2017,Seuls,3.0,David Moreau,2.5
396,Ben Affleck ; Henry Cavill ; Jesse Eisenberg ; ,23 mars 2016,Batman v Superman : L’Aube de la Justice,2.6,Zack Snyder,3.5
397,,12 avril 2017,A voix haute - La force de la parole,4.0,Stéphane De Freitas,4.5
398,Uriah Shelton ; Ni Ni ; Mark Chao ; ,22 mars 2017,The Warriors Gate,,Matthias Hoene,2.5
399,Doria Tillier ; Nicolas Bedos ; Denis Podalydès ; ,8 mars 2017,Monsieur & Madame Adelman,3.4,Nicolas Bedos,4.0
400,Jessica Chastain ; Mark Strong ; Sam Waterston ; ,8 mars 2017,Miss Sloane,3.2,John Madden,4.1
401,Finnegan Oldfield ; Grégory Gadebois ; Vincent Macaigne ; ,22 novembre 2017,Marvin ou la belle éducation,3.2,Anne Fontaine,3.9
402,Luis Tosar ; Raúl Arévalo ; Rodrigo De la Serna ; ,24 janvier 2017,Insiders,,Daniel Calparsoro,2.4
403,Gaspard Ulliel ; Nathalie Baye ; Léa Seydoux ; ,21 septembre 2016,Juste La Fin Du Monde,3.2,Xavier Dolan,3.7
404,Agnès Jaoui ; Thibault de Montalembert ; Pascale Arbillot ; ,26 avril 2017,Aurore,3.4,Blandine Lenoir,3.4
405,Gong Yoo ; Soo-an Kim ; Yumi Jung ; ,17 août 2016,Dernier train pour Busan,4.0,Sang-Ho Yeon,4.1
406,Louise Bourgoin ; Stéphane De Groodt ; Pierre-François Martin-Laval ; ,20 septembre 2017,L'un dans l'autre,1.9,Bruno Chiche,2.6
407,Nicolás Durán ; Alejandro Goic ; Gastón Salgado ; ,28 mars 2018,Jesús – Petit Criminel,3.2,Fernando Guzzoni,3.3
408,Mario Casas ; Bárbara Lennie ; Ana Wagener ; ,10 août 2017,L'Accusé,,Oriol Paulo,4.3
409,Ross O'Hennessy ; Ben Loyd-Holmes ; Silvio Simac ; ,2 février 2018,Knights of the Damned,,Simon Wells,2.5
