,actor,date,movie,press_rating,producer,spectators_rating
97,Kyle Chandler,3 août 2011,Super 8,"3,8",J.J. Abrams,"3,6"
98,Michael Shannon,4 janvier 2012,Take Shelter,"4,6",Jeff Nichols,"3,9"
99,Alex Pettyfer,6 avril 2011,Numéro quatre,"1,9",D.J. Caruso,"3,3"
100,Matt Damon,23 mars 2011,L'Agence,"3,0",George Nolfi,"3,5"
101,Justin Timberlake,7 septembre 2011,Sexe entre amis,"2,5",Will Gluck,"3,5"
102,Vin Diesel,4 mai 2011,Fast and Furious 5,"3,3",Justin Lin,"4,0"
103,Jeremy Irvine,22 février 2012,Cheval de guerre,"3,5",Steven Spielberg,"4,0"
104,Robert Downey Jr.,25 janvier 2012,Sherlock Holmes 2 : Jeu d'ombres,"3,1",Guy Ritchie,"4,0"
105,Quim Gutiérrez,4 juillet 2012,Inside,"3,0",Andrés Baiz,"3,8"
106,Gary Oldman,8 février 2012,La Taupe,"4,0",Tomas Alfredson,"2,9"
107,Philippe Peythieu,12 octobre 2011,Un monstre à Paris,"3,4",Eric Bergeron,"3,9"
108,Owen Wilson,11 mai 2011,Minuit à Paris,"4,2",Woody Allen,"3,8"
109,Audrey Tautou,21 décembre 2011,La Délicatesse,"2,5",David Foenkinos,"3,5"
110,Emily Browning,30 mars 2011,Sucker Punch,"3,0",Zack Snyder,"3,3"
111,Gaspard Proust,18 janvier 2012,L'Amour dure trois ans,"3,1",Frédéric Beigbeder,"2,9"
112,Eric Elmosnino,14 septembre 2011,La Guerre des Boutons,"2,6",Yann Samuell,"3,0"
113,Deborah Révy,14 septembre 2011,Q,"1,6",Laurent Bouhnik,"2,2"
114,Sophie Marceau,27 juin 2012,Un Bonheur n'arrive jamais seul,"2,4",James Huth,"3,4"
115,Kenny Wormald,21 décembre 2011,Footloose,"2,0",Craig Brewer,"3,5"
116,Tilda Swinton,28 septembre 2011,We Need to Talk About Kevin,"3,7",Lynne Ramsay,"4,0"
117,Taylor Lautner,28 septembre 2011,Identité Secrète,"1,4",John Singleton,"2,6"
118,Kirsten Dunst,10 août 2011,Melancholia,"4,1",Lars von Trier,"3,5"
119,Glenn Close,22 février 2012,Albert Nobbs,"2,7",Rodrigo García,"3,5"
120,Jamie Foxx,16 janvier 2013,Django Unchained,"4,5",Quentin Tarantino,"4,5"
121,Jennifer Lawrence,21 mars 2012,Hunger Games,"3,4",Gary Ross,"3,9"
122,Robert Downey Jr.,25 avril 2012,Avengers,"4,0",Joss Whedon,"4,2"
123,Tom Hanks,13 mars 2013,Cloud Atlas,"3,4",Lana Wachowski,"4,0"
124,Suraj Sharma,19 décembre 2012,L'Odyssée de Pi,"3,6",Ang Lee,"4,1"
125,Bruce Willis,31 octobre 2012,Looper,"3,9",Rian Johnson,"3,8"
126,Bradley Cooper,30 janvier 2013,Happiness Therapy,"3,5",David O. Russell,"3,9"
127,Christian Bale,25 juillet 2012,The Dark Knight Rises,"3,6",Christopher Nolan,"4,3"
128,David Oakes,24 septembre 2012,Action ou vérité,,Robert Heath,"3,0"
129,Ethan Hawke,7 novembre 2012,Sinister,"3,2",Scott Derrickson,"3,7"
130,Johan Heldenbergh,28 août 2013,Alabama Monroe,"3,7",Felix Van Groeningen,"4,4"
131,Logan Lerman,2 janvier 2013,Le Monde de Charlie,"3,3",Stephen Chbosky,"4,3"
132,Rachel McAdams,16 mai 2012,Je te promets - The Vow,"2,0",Michael Sucsy,"3,9"
133,Norman Thavaud,14 mars 2012,Projet X,"3,0",Nima Nourizadeh,"3,4"
134,Matthew McConaughey,1 mai 2013,Mud - Sur les rives du Mississippi,"4,1",Jeff Nichols,"4,2"
135,Jessica Biel,5 septembre 2012,The Secret,"2,6",Pascal Laugier,"3,0"
136,Noomi Rapace,30 mai 2012,Prometheus,"3,4",Ridley Scott,"3,3"
137,Andrew Garfield,4 juillet 2012,The Amazing Spider-Man,"3,0",Marc Webb,"3,6"
138,Serge Faliu,13 février 2013,Hôtel Transylvanie,"3,0",Genndy Tartakovsky,"3,8"
139,Kumiko Aso,29 août 2012,"Les Enfants Loups, Ame & Yuki","4,1",Mamoru Hosoda,"4,5"
140,Bruce Willis,16 mai 2012,Moonrise Kingdom,"3,7",Wes Anderson,"4,0"
141,Medi Sadoun,11 juillet 2012,Les Kaïra,"3,3",Franck Gastambide,"2,4"
142,Ian McKellen,12 décembre 2012,Le Hobbit : un voyage inattendu,"3,2",Peter Jackson,"4,2"
143,Shia LaBeouf,12 septembre 2012,Des hommes sans loi,"3,4",John Hillcoat,"4,1"
144,Anna Kendrick,8 mai 2013,The Hit Girls,"2,5",Jason Moore,"4,0"
145,Colin Farrell,30 janvier 2013,7 Psychopathes,"2,3",Martin McDonagh,"3,0"
146,Jessica Chastain,23 janvier 2013,Zero Dark Thirty,"4,1",Kathryn Bigelow,"3,9"
