,actors,date,genres,movie,press_rating,producers,spectators_rating
110,Tatsuya Nakadai ; Yûzô Kayama ; Michiyo Aratama ; ,18 novembre 2003,Action ; Drame ; ,Le Sabre du mal,,Kihachi Okamoto ; ,3.8
111,Arch Hall jr. ; Richard Alden ; Helen Hovey ; ,21 février 2008,Epouvante-horreur ; ,Le Sadique,,James Landis ; ,3.3
112,Van Heflin ; Tab Hunter ; Kathryn Grant ; ,1 octobre 1958,Western ; ,Le Salaire de la violence,,Phil Karlson ; ,3.5
113,Danielle Darrieux ; Jean Debucourt ; Jean-Claude Pascal ; ,11 juillet 1956,Drame ; ,Le Salaire du péché,,Denys de La Patellière ; ,3.1
114,Carlos Mayolo ; Luis Alberto Garcia ; Florina Lemaitre ; ,/,Thriller ; ,Le Sang,,Luis Ospina ; ,3.0
115,Max von Sydow ; Stefano Dionisi ; Chiara Caselli ; ,13 mars 2002,Epouvante-horreur ; Thriller ; ,Le Sang des innocents,3.4,Dario Argento ; ,3.1
116,Mirko Lang ; Harald Krassnitzer ; Catherine H. Flemming ; ,16 décembre 2005,Aventure ; ,Le Sang des Templiers,,Florian Baxmeyer ; ,3.1
117,Chuck Norris ; Joanna Pacula ; Daniel Bernhardt ; ,7 juin 2007,Action ; ,Le Sang du diamant,,William Tannen ; ,2.9
118,Jacques Bonnaffé ; Julie-Anne Roth ; Marianne Basler ; ,/,Drame ; ,Le sang du renard,,Serge Meynard ; ,3.0
119,Rufus ; Didier Sandre ; Myriam Boyer ; ,/,Historique ; ,Le sang noir,,Peter Kassovitz ; ,3.0
120,Chevy Chase ; Beverly D'Angelo ; Randy Quaid ; ,18 mai 2004,Comédie ; ,Le Sapin a les boules,,Jeremiah S. Chechik ; ,3.3
121,Dean Cain ; Gary Valentine ; Elisa Donovan ; ,4 octobre 2011,Comédie ; ,Le sauveur de Noël,,Michael Feifer ; ,3.0
122,Serge Avédikian ; Yuliya Peresild ; Karen Badalov ; ,7 janvier 2015,Drame ; ,Le Scandale Paradjanov ou La vie tumultueuse d'un artiste soviétique,3.6,Serge Avédikian ; Olena Fetisova ; ,3.4
123,Jean-Louis Trintignant ; Marlène Jobert ; Philippe Noiret ; ,14 mars 2013,Thriller ; Drame ; ,Le secret,,Robert Enrico ; ,3.6
124,George Nader ; Magali Noël ; Massimo Serato ; ,/,Divers ; ,Le Secret de D'Artagnan,,Siro Marcellini ; ,2.9
125,Fabienne Dali ; Fernando Casanova ; Milagros Leal ; ,7 janvier 2017,Comédie ; Musical ; ,Le Secret de Joselito,,Antonio Del Amo ; ,3.0
126,,23 novembre 2016,Animation ; ,Le Secret de la fleur de Noël,,,3.1
127,Michael J. Fox ; Helen Slater ; Richard Jordan ; ,22 mai 2001,Comédie ; ,Le Secret de mon succès,,Herbert Ross ; ,3.4
128,Gigi Ballista ; Carlo Caprioli ; Edouardo Ciannelli ; ,/,Comédie ; ,Le Secret de Santa Vittoria,,Stanley Kramer ; ,2.6
129,Tom Cameron ; Sophie McBride ; Sam Neill ; ,6 octobre 2010,Aventure ; Fantastique ; ,Le Secret des 7 volcans,,Jonathan King (II) ; ,2.0
130,George Segal ; Alec Guinness ; Max von Sydow ; ,28 février 2003,Espionnage ; ,Le Secret du rapport Quiller,,Michael Anderson ; ,3.0
131,Jane Wyman ; Rock Hudson ; Agnes Moorehead ; ,7 novembre 2007,Comédie dramatique ; ,Le Secret magnifique,,Douglas Sirk ; ,3.5
132,Suheir Hammad ; Saleh Bakri ; Ryad Dias ; ,3 septembre 2008,Drame ; ,Le Sel De La Mer,3.5,Annemarie Jacir ; ,3.3
133,Marilyne Canto ; Antoine Chappey ; Samson Dajczman ; ,26 février 2014,Drame ; Romance ; ,Le Sens de l'humour,3.5,Marilyne Canto ; ,2.8
134,Brian Meagan ; Geoffrey Rush ; Anthony LaPaglia ; ,29 avril 2009,Animation ; ,Le Sens de la vie pour 9.99$,3.7,Tatia Rosenthal ; ,2.9
135,Michelle Yeoh ; Wai-Man Chan ; Michael Wong ; ,16 septembre 2008,Action ; Drame ; ,Le Sens du devoir,,David Chung ; ,3.2
136,Antoine Cousin-Mazure ; Samir Guesmi ; Sandrine Le Berre ; ,/,Drame ; ,Le Serment d'Hippocrate,,Jean-Louis Bertuccelli ; ,3.0
137,Cleavon Little ; Gene Wilder ; Slim Pickens ; ,1 février 1974,Comédie ; ,Le Shérif est en prison,,Mel Brooks ; ,3.2
138,Mathieu Demy ; Natacha Régnier ; Thierry de Peretti ; ,29 décembre 2004,Drame ; ,Le Silence,3.7,Orso Miret ; ,2.7
139,John McEnery ; Colin Farrell (II) ; Doug McClure ; ,18 février 2016,Aventure ; Fantastique ; ,Le sixième continent,,Kevin Connor ; ,2.7
140,Antonio Lopez ; María Moreno ; Enrique Gran ; ,8 septembre 2010,Comédie dramatique ; Documentaire ; ,Le Songe de la lumiere,3.5,Victor Erice ; ,3.5
141,Gong Li ; Jiang Wen ; Rujun Ten ; ,30 décembre 2008,Drame ; ,Le Sorgho rouge,,Yimou Zhang ; ,3.3
142,Gabriel Ledoze ; Serge Biavan ; Jean-Claude De Goros ; ,13 octobre 2004,Animation ; ,Le Sortilège des trois lutins,3.4,Karel Zeman ; ,3.1
143,James Caan ; Jane Fonda ; Jason Robards ; ,3 avril 1979,Western ; ,Le Souffle de la tempête,,Alan J. Pakula ; ,2.5
144,,19 mars 2014,Documentaire ; Historique ; ,Le Souffle des Dieux,2.7,Jan Schmidt-Garre ; ,3.5
145,Guillaume Pixie ; Frédéric Diefenthal ; Linda Hardy ; ,9 mars 2005,Comédie ; Romance ; ,Le Souffleur,2.3,Guillaume Pixie ; ,2.6
146,Gian Maria Volonte ; Annie Girardot ; Renato Salvatori ; ,/,Drame ; ,Le Soupcon,,Francesco Maselli ; ,3.1
147,Ticky Holgado ; Bruno Putzulu ; Vincent Elbaz ; ,21 juillet 1999,Policier ; ,Le sourire du clown,2.8,Eric Besnard ; ,2.8
148,Alice Dwyer ; Dagmar Manzel ; Mateusz Damiecki ; ,/,Drame ; Romance ; ,Le souvenir de toi,,Anna Justice ; ,3.5
149,Susu Pecoraro ; Miguel Angel Sola ; Philippe Léotard ; ,2 juin 2015,Comédie dramatique ; ,Le Sud,,Fernando E. Solanas ; ,3.2
150,Chow Yun-Fat ; Anita Mui ; Kien Shih ; ,20 mai 2008,Action ; Thriller ; Guerre ; ,Le Syndicat du crime 3,,Tsui Hark ; ,3.1
151,Jet Li ; Wang Jue ; Sun Jian Kui ; ,/,Arts Martiaux ; Action ; ,Le Temple de Shaolin,,Hsin-yan Chang ; ,3.3
152,Mikko Kauppila ; Valtteri Lehtinen ; Sami Huhtala ; ,27 avril 2018,Comédie dramatique ; Romance ; ,Le Temps d'un été,,Nils-Erik Ekblom ; ,
153,Catherine Deneuve ; Emmanuelle Béart ; Vincent Perez ; ,19 mai 1999,Drame ; Romance ; Guerre ; ,Le temps retrouvé,3.9,Raoul Ruiz ; ,3.0
154,Frank Sinatra ; Debbie Reynolds ; Celeste Holm ; ,4 juin 2008,Comédie ; Comédie musicale ; ,Le Tendre piège,,Charles Walters ; ,3.3
155,Ahmed Rateb ; Madiha Yousri ; Salah Zulficar ; ,/,Comédie dramatique ; ,Le Terroriste,,Nader Galal ; ,3.0
156,Richard Harrison ; Mike Abbott ; Philip Parker ; ,/,Action ; ,Le Terroriste,,Godfrey Ho ; ,2.6
157,Abdellatif Kechiche ; Chafia Boudraa ; Dominique Pinon ; ,27 février 1985,Comédie dramatique ; ,Le Thé à la menthe,,Abdelkrim Bahloul ; ,3.7
158,Mark Caven ; Ouriel Maoz ; Rivka Maoz ; ,5 juillet 2007,Documentaire ; ,Le Tombeau perdu de Jésus,,Simcha Jacobovici ; ,3.0
159,Suzanne Flon ; Robert Hossein ; Marie-Christine Barrault ; ,/,Thriller ; Epouvante-horreur ; ,Le Tour d'écrou,,Raymond Rouleau ; ,3.0
160,Jet Li ; Rosamund Kwan ; Mok Siu Chung ; ,/,Action ; Aventure ; ,Le Tournoi du Lion,,Tsui Hark ; ,3.1
161,Arthur Kennedy ; Peter Butterworth ; Charles 'Bud' Tingwell ; ,21 juin 2006,Policier ; ,Le Train de 16h50,,George Pollock ; ,3.3
